Iterations,Input_size, Elapsed_Time(s/100_iters),Speed_Time(ms/iter),FPS
100,16,0.09843754768371582,0.9843754768371583,1015.8725237782681
100,32,0.10674428939819336,1.0674428939819336,936.818265068637
100,64,0.10117769241333008,1.0117769241333008,988.3601574098075
100,128,0.1364295482635498,1.364295482635498,732.9790450293327
100,256,0.38669824600219727,3.8669824600219727,258.59956964850517
100,512,1.2940561771392822,12.940561771392822,77.27639786169559
100,64,0.09592771530151367,0.9592771530151367,1042.4515968683982
100,32,0.10127878189086914,1.0127878189086914,987.3736446371653
100,16,0.09819769859313965,0.9819769859313965,1018.3538049534927
100,16,0.09388470649719238,0.9388470649719238,1065.1362051495628
100,32,0.1001589298248291,1.001589298248291,998.4132236126418
100,64,0.10285615921020508,1.0285615921020508,972.2315198998632
100,128,0.13101601600646973,1.3101601600646973,763.2654621024492
100,128,0.1424241065979004,1.424241065979004,702.1283291762225
100,256,0.35181188583374023,3.5181188583374023,284.24281278335815
100,256,0.35127758979797363,3.5127758979797363,284.6751483848198
100,512,1.2427842617034912,12.427842617034912,80.46448855325015
100,512,1.249502182006836,12.49502182006836,80.03187304514279
