Iterations,Input_size, Elapsed_Time(s/1000 iters),Speed_Time(ms/iter),FPS
1000,16,0.9403030872344971,0.9403030872344971,1063.4868837249871
1000,16,0.8907721042633057,0.8907721042633057,1122.621594472841
1000,16,0.9817783832550049,0.981778383255005,1018.5598064245241
1000,32,0.9510300159454346,0.9510300159454346,1051.491523120733
1000,32,0.9004321098327637,0.9004321098327637,1110.5778981890471
1000,32,0.9906110763549805,0.9906110763549805,1009.4779110279754
1000,64,0.9805781841278076,0.9805781841278076,1019.8064939507781
1000,64,0.9517650604248047,0.9517650604248047,1050.6794602794796
1000,64,0.9528346061706543,0.9528346061706543,1049.5000848246882
1000,128,1.0008907318115234,1.0008907318115234,999.1100608855561
1000,128,0.9826829433441162,0.9826829433441163,1017.6222216668918
1000,128,0.9811358451843262,0.9811358451843262,1019.2268531501159
1000,256,1.022047519683838,1.022047519683838,978.4280874820203
1000,256,1.0105297565460205,1.0105297565460205,989.5799638973413
1000,256,1.0025830268859863,1.0025830268859863,997.4236279522812
1000,512,2.8104891777038574,2.8104891777038574,355.80994509183284
1000,512,2.6839449405670166,2.6839449405670166,372.5858846376847
1000,512,2.7117748260498047,2.7117748260498047,368.7621812820951

1000,512,2.7787954807281494,2.7787954807281494,359.8681540024537
1000,128,1.0334045886993408,1.0334045886993408,967.6752076924834
1000,256,1.0789802074432373,1.0789802074432373,926.8010600209344
