class,percentage
15,0.017008196721311476
37,0.003352338337182448
4,0.10486540841584158
4,0.023218550955414013
15,0.03205137587822014
15,0.00032
15,0.016195843091334892
4,0.12176888173302107
15,0.008905516431924883
4,0.13375345303867403
4,0.14173828125000001
15,0.07095920138888889
37,0.007885856807511738
4,0.17072265625
15,0.005569852941176471
4,0.1925480769230769
15,0.02505988023952096
4,0.3644650175644028
37,0.0006338443396226416
4,0.15250735294117648
37,0.001025390625
15,0.07293716457960644
4,0.07545740632318501
4,0.051545626349892
4,0.06324648711943795
15,0.030960286458333337
4,0.08738281249999999
15,0.07119827097505668
37,0.03944581600831601
4,0.22675400417827296
15,0.0020755597014925375
15,0.09618340163934426
15,0.16334232491856676
37,0.05077227011494253
37,0.01565728305785124
37,0.011045045045045046
37,0.08743352601156068
15,0.1901092529296875
15,0.0007281908665105386
4,0.14151270207852193
15,0.006187792740046839
4,0.001134367681498829
4,0.13288655213270142
15,0.002669983416252073
15,0.016597576530612244
37,0.011298828125
4,0.005048828125
15,0.044263473053892215
15,0.002997378587196468
15,0.03336051670146138
15,0.006061197916666666
4,0.21698893229166666
37,0.06754244730679157
37,0.00404296875
37,0.005770638173302108
37,0.0008928571428571428
4,0.05088553864168618
4,0.0008906666666666667
15,0.0008072916666666668
15,0.0367566265060241
15,0.02121921921921922
4,0.001134367681498829
37,0.35499708624708626
37,0.008857421875
4,0.26918619791666665
37,0.12614632009345794
37,0.11311111111111112
4,0.6082949029126213
15,0.09496672755741128
4,0.0124634074941452
15,0.0004639116575591985
4,0.15744863013698632
37,0.0014380854800936768
15,0.087042236328125
15,0.017423537234042552
4,0.14139322916666666
15,0.12219117647058823
4,0.07980459601873537
15,0.05409722222222222
15,0.001318359375
15,0.014928385416666667
4,0.003401385613207547
4,0.08352213541666667
37,0.010768229166666667
37,0.03365610328638498
37,0.049460827464788734
37,0.014026666666666666
4,0.05262002341920374
37,0.005400390624999999
37,0.002298240291262136
37,0.0007096354166666667
4,0.08261393229166666
4,0.0648894906323185
37,0.0014973958333333334
4,0.1859539762741652
15,0.005301470588235295
15,0.0002336448598130841
4,0.12859338407494145
4,0.015322265625000001
37,0.003224031690140845
37,0.004335329341317366
15,0.10418618266978923
37,0.08297350702576113
4,0.12259412650602411
15,0.000634765625
37,0.004458924672489082
15,0.07970758354755783
37,0.07993815104166666
4,0.0305625
4,0.14487969483568075
37,0.18200520833333333
15,0.051384548611111115
4,0.0021744791666666666
37,0.01387266355140187
4,0.04914713541666667
15,0.03266544117647059
37,0.008795915570175438
37,0.01072794117647059
4,0.00166015625
15,0.026918058455114822
4,0.035674033957845436
15,0.0851171875
4,0.13361021662763467
4,0.11781575520833334
15,0.0008928571428571428
4,0.1329576333992095
4,0.028326822916666668
15,7.161458333333333e-05
4,0.26418158198614317
4,0.13975911458333334
37,0.13546691176470588
4,0.011243489583333334
4,0.2554871823956443
4,0.047119140625
15,0.0045849609375
4,0.010511067708333334
15,0.024369303385416666
4,0.04853264051522248
37,0.008829771662763466
4,0.13050928655660377
37,0.0019961124401913877
4,0.1153462441314554
15,0.0015764075067024128
15,0.11858398437499999
15,0.022053179824561404
15,0.00207275390625
37,0.002178030303030303
15,0.038593749999999996
4,0.30473540683962264
4,0.05046502976190477
37,0.028432
4,0.3880342505854801
15,1.3020833333333332e-05
4,0.32928562242798354
37,0.03651692708333333
4,0.0010282494145199062
15,0.04181425644028103
15,0.010890040887850467
37,0.004957682291666666
4,0.5031797605140187
4,0.1825563524590164
4,0.13228556791569085
37,0.001216
4,0.06685734832635983
37,0.27108274647887326
37,0.009495442708333333
15,0.1681985294117647
15,0.2652373333333333
37,0.008727312646370023
4,0.16661398121387283
4,0.04820330796252927
15,0.24476228112840465
37,0.01220703125
4,0.051836943793911
4,0.00203857421875
37,0.005963134765625
4,0.10888100117096018
4,0.00509733606557377
37,0.1067781690140845
15,0.021178385416666667
15,0.017867838541666667
4,0.0047843491735537185
15,0.00043904958677685953
37,0.0032972972972972973
4,0.04924242424242424
4,0.004807973130841121
4,0.06323744158878505
4,0.12335699648711944
4,0.018687792740046838
37,0.026208
4,0.11283299180327869
15,0.0009499706572769953
4,0.3192659543325527
4,0.054036977091633465
15,0.00396493544600939
4,0.044459635416666664
15,0.06229657202216067
15,0.029409094792601134
15,0.16484375
15,0.0027306666666666664
4,0.00048828125
37,0.03109240879828326
37,0.09669405320813772
15,0.18346750585480093
15,0.016916322314049586
15,0.0032892815420560743
4,0.1284037558685446
15,0.012778666666666666
4,0.007158941124780316
4,0.15248372395833334
15,0.0698697306791569
15,0.0031184895833333334
15,0.18725616016427105
37,0.002923177083333333
15,0.0667143485915493
37,0.010476074218750001
37,0.25965494791666666
15,0.0017308255269320842
37,0.0016325176886792451
4,0.11789338235294118
37,0.038928870292887024
37,0.007739314988290398
