class,percentage
1,0.044115925058548014
7,0.0411636700913242
7,0.23223718619246864
7,0.12693359375
5,0.014099092505854801
5,0.55978515625
1,0.006129244730679157
5,0.2685999707259953
7,0.0029017857142857144
5,0.2084375
5,0.005299479166666667
1,0.20487778103044496
7,0.015872395833333334
5,0.3069555055401662
1,0.0235015015015015
7,0.000984984984984985
5,0.028746744791666667
1,0.0909069069069069
1,0.003972271126760563
7,0.009869791666666666
5,0.15819575471698114
7,0.6403451492537313
5,0.46774004683840753
7,0.024459635416666667
5,0.000966796875
7,0.062451171875
5,0.3665147058823529
5,0.2605130269320843
7,0.003154274004683841
5,0.46204249379652607
5,0.5103202962577963
5,0.15511929172540476
5,0.012298177083333334
5,0.14472005208333333
1,0.00975975975975976
7,0.001105105105105105
1,0.056570666666666665
7,0.005379098360655738
5,0.6333578601108033
1,0.010538194444444444
7,0.13707899305555554
1,0.0010893485915492956
7,0.02437279929577465
7,0.001953125
1,0.0012556433408577878
7,0.0024121093749999998
1,0.039281250000000004
5,0.24326171875
1,0.07704779411764706
7,0.5084360328638498
5,0.35404296875
1,0.025830078125
5,0.14334309895833333
5,0.4941488583138173
7,0.11007254464285714
1,0.0014020476772616136
5,0.322971424205379
7,0.0030859374999999997
7,0.07078124999999999
1,0.0019247658079625293
5,0.7080979215456675
7,0.010747218969555035
7,0.0103271484375
1,0.173193359375
1,0.22566964285714286
1,0.033138927576601675
7,0.19184244791666666
1,0.10188085480093675
7,0.04579918032786885
7,0.009369369369369369
1,0.02165779147982063
1,0.04396809895833333
5,0.037932942708333334
7,0.255625
7,0.3083810763888889
7,0.2509733606557377
5,0.3805078125
1,0.040771484375
1,0.13771809895833334
5,0.2135970052083333
7,0.19378255208333334
1,0.016183823529411764
7,0.22995462529274008
7,0.10606
7,0.16703125000000002
7,0.01837397780373832
1,0.01016
7,0.005280298594847775
7,0.0015769341801385682
5,0.264656
1,0.0039812646370023415
7,0.3066286844978166
7,0.0012532552083333334
1,0.008134514051522249
7,0.0019064695550351288
5,0.4986144329896907
1,0.004479166666666667
1,0.5147960680751174
7,0.3750592417061611
7,4.422169811320755e-05
1,0.0005196135831381733
7,0.25498046875
1,0.016769672701949862
1,0.007704861111111111
5,0.009302171610169491
7,0.4920261150234742
5,0.0040071614583333335
7,0.06152669270833333
7,0.280888671875
7,0.04373089853300734
7,0.03605711722488038
1,0.002919600938967136
5,0.42997395833333335
1,0.01876302083333333
