Iterations,Input_size, Elapsed_Time(s/100_iters),Speed_Time(ms/iter),FPS
100,512,0.8062419891357422,8.062419891357422,124.0322401307774
100,16,0.7136116027832031,7.136116027832031,140.13225066686624
100,16,0.6408336162567139,6.408336162567139,156.04674515067987
100,32,0.6955447196960449,6.955447196960449,143.7722078369027
100,32,0.6572170257568359,6.572170257568359,152.1567398301076
100,32,0.6551358699798584,6.551358699798584,152.6400928147537
100,64,0.6940560340881348,6.940560340881348,144.0805858440264
100,64,0.7146849632263184,7.146849632263184,139.9217909224895
100,128,0.7234363555908203,7.234363555908203,138.22916035002334
100,128,0.7055683135986328,7.055683135986328,141.72972067008902
100,128,0.775982141494751,7.75982141494751,128.86894511176897
100,256,0.7850973606109619,7.85097360610962,127.37273746810219
100,256,0.7582571506500244,7.582571506500244,131.88138076149218
100,256,0.7285339832305908,7.285339832305908,137.26195661671508
100,512,0.8071877956390381,8.07187795639038,123.8869077806504
100,512,0.7989263534545898,7.989263534545898,125.1679827152978
100,64,0.696397066116333,6.96397066116333,143.5962396534494
100,16,0.6442539691925049,6.442539691925049,155.21829089440925
100,16,0.698798418045044,6.9879841804504395,143.10278532077913
