step	Buildings_Loss_train	Buildings_Loss_val	Buildings_Lr_0_train	Buildings_F1_Score_train	Buildings_F1_Score_val	Buildings_Mean_IoU_train	Buildings_Mean_IoU_val	Buildings_Pixel_Accuracy_train	Buildings_Pixel_Accuracy_val	Buildings_Precision_train	Buildings_Precision_val	Buildings_Recall_train	Buildings_Recall_val	Buildings_Negative_F1_Score_train	Buildings_Negative_F1_Score_val	Buildings_Negative_Mean_IoU_train	Buildings_Negative_Mean_IoU_val	Buildings_Negative_Pixel_Accuracy_train	Buildings_Negative_Pixel_Accuracy_val	Buildings_Negative_Precision_train	Buildings_Negative_Precision_val	Buildings_Negative_Recall_train	Buildings_Negative_Recall_val	Road_Loss_train	Road_Loss_val	Road_Lr_0_train	Road_F1_Score_train	Road_F1_Score_val	Road_Mean_IoU_train	Road_Mean_IoU_val	Road_Pixel_Accuracy_train	Road_Pixel_Accuracy_val	Road_Precision_train	Road_Precision_val	Road_Recall_train	Road_Recall_val	Road_Negative_F1_Score_train	Road_Negative_F1_Score_val	Road_Negative_Mean_IoU_train	Road_Negative_Mean_IoU_val	Road_Negative_Pixel_Accuracy_train	Road_Negative_Pixel_Accuracy_val	Road_Negative_Precision_train	Road_Negative_Precision_val	Road_Negative_Recall_train	Road_Negative_Recall_val	Track_Loss_train	Track_Loss_val	Track_Lr_0_train	Track_F1_Score_train	Track_F1_Score_val	Track_Mean_IoU_train	Track_Mean_IoU_val	Track_Pixel_Accuracy_train	Track_Pixel_Accuracy_val	Track_Precision_train	Track_Precision_val	Track_Recall_train	Track_Recall_val	Track_Negative_F1_Score_train	Track_Negative_F1_Score_val	Track_Negative_Mean_IoU_train	Track_Negative_Mean_IoU_val	Track_Negative_Pixel_Accuracy_train	Track_Negative_Pixel_Accuracy_val	Track_Negative_Precision_train	Track_Negative_Precision_val	Track_Negative_Recall_train	Track_Negative_Recall_val	Trees_Loss_train	Trees_Loss_val	Trees_Lr_0_train	Trees_F1_Score_train	Trees_F1_Score_val	Trees_Mean_IoU_train	Trees_Mean_IoU_val	Trees_Pixel_Accuracy_train	Trees_Pixel_Accuracy_val	Trees_Precision_train	Trees_Precision_val	Trees_Recall_train	Trees_Recall_val	Trees_Negative_F1_Score_train	Trees_Negative_F1_Score_val	Trees_Negative_Mean_IoU_train	Trees_Negative_Mean_IoU_val	Trees_Negative_Pixel_Accuracy_train	Trees_Negative_Pixel_Accuracy_val	Trees_Negative_Precision_train	Trees_Negative_Precision_val	Trees_Negative_Recall_train	Trees_Negative_Recall_val	Crops_Loss_train	Crops_Loss_val	Crops_Lr_0_train	Crops_F1_Score_train	Crops_F1_Score_val	Crops_Mean_IoU_train	Crops_Mean_IoU_val	Crops_Pixel_Accuracy_train	Crops_Pixel_Accuracy_val	Crops_Precision_train	Crops_Precision_val	Crops_Recall_train	Crops_Recall_val	Crops_Negative_F1_Score_train	Crops_Negative_F1_Score_val	Crops_Negative_Mean_IoU_train	Crops_Negative_Mean_IoU_val	Crops_Negative_Pixel_Accuracy_train	Crops_Negative_Pixel_Accuracy_val	Crops_Negative_Precision_train	Crops_Negative_Precision_val	Crops_Negative_Recall_train	Crops_Negative_Recall_val	Waterway_Loss_train	Waterway_Loss_val	Waterway_Lr_0_train	Waterway_F1_Score_train	Waterway_F1_Score_val	Waterway_Mean_IoU_train	Waterway_Mean_IoU_val	Waterway_Pixel_Accuracy_train	Waterway_Pixel_Accuracy_val	Waterway_Precision_train	Waterway_Precision_val	Waterway_Recall_train	Waterway_Recall_val	Waterway_Negative_F1_Score_train	Waterway_Negative_F1_Score_val	Waterway_Negative_Mean_IoU_train	Waterway_Negative_Mean_IoU_val	Waterway_Negative_Pixel_Accuracy_train	Waterway_Negative_Pixel_Accuracy_val	Waterway_Negative_Precision_train	Waterway_Negative_Precision_val	Waterway_Negative_Recall_train	Waterway_Negative_Recall_val
0	1.3229186534881592		0.10000000149011612	0.004009722266346216		0.0020088886376470327		0.7368335723876953		0.2416657656431198		0.0020216326229274273		0.0038656354881823063		0.0019365607295185328		0.3337923586368561		0.6235648989677429		0.0019388273358345032		0.14417651295661926		0.10000000149011612	0.0020624666940420866		0.0010322979651391506		0.8279343247413635		0.11136912554502487		0.001040871487930417		0.006355625577270985		0.003187943482771516		0.24371086061000824		0.7076748609542847		0.003192147007212043		0.26267823576927185		0.10000000149011612	0.008412300609052181		0.00422391714528203		0.8415799140930176		0.08120141178369522		0.004435927141457796		0.015340673737227917		0.007729625795036554		0.22693774104118347		0.7494808435440063		0.0077496482990682125		0.680494487285614		0.10000000149011612	0.0027723133098334074		0.0013880807673558593		0.4982162117958069		0.40781736373901367		0.0013908842811360955		0.0016039410838857293		0.0008026142022572458		0.571749210357666		0.37377676367759705		0.0008036949438974261		2.537262201309204		0.10000000149011612	0.00585155887529254		0.002934364601969719		0.5670461654663086		0.4130737781524658		0.0029466503765434027		0.009944215416908264		0.0049969530664384365		0.503251314163208		0.4864405393600464		0.005023454315960407		0.37591299414634705		0.10000000149011612	0.012840782292187214		0.006461878772825003		0.8035629987716675		0.170767143368721		0.006671210750937462		0.002237709704786539		0.0011201080633327365		0.26288583874702454		0.6983663439750671		0.0011206502094864845	
1	0.6733835935592651	1.0345182418823242		0.0	0.0	0.0	0.0	0.7393432259559631	0.7241634130477905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33145982027053833	0.2758365869522095	0.0	0.0	0.0	0.0	0.724141538143158	1.0716907978057861		0.0	0.0	0.0	0.0	0.8315467834472656	0.82818204164505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24002860486507416	0.17181792855262756	0.0	0.0	0.0	0.0	0.08384687453508377	2.1349544525146484		0.0	0.0	0.0	0.0	0.8486791253089905	0.8951168656349182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22207269072532654	0.10488315671682358	0.0	0.0	0.0	0.0	0.0997353196144104	2.181210994720459		0.0	0.0	0.0	0.0	0.499728262424469	0.7873241901397705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5713855624198914	0.21267582476139069	0.0	0.0	0.0	0.0	0.9121605157852173	1.1186447143554688		0.0	0.0	0.0	0.0	0.5608386397361755	0.5086849927902222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5105274319648743	0.4913150370121002	0.0	0.0	0.0	0.0	0.15312765538692474	10.31760025024414		0.0	0.0	0.0	0.0	0.8048581480979919	0.5038105845451355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2653680145740509	0.4961894154548645	0.0	0.0	0.0	0.0
2	0.30898788571357727		0.09875000268220901	0.0		0.0		0.742059588432312		0.0		0.0		0.0		0.0		0.32954141497612		0.0		0.0		0.633378267288208		0.09875000268220901	0.0		0.0		0.8319705128669739		0.0		0.0		0.0		0.0		0.23783282935619354		0.0		0.0		0.08612431585788727		0.09875000268220901	0.0		0.0		0.8486162424087524		0.0		0.0		0.0		0.0		0.22303703427314758		0.0		0.0		0.07602257281541824		0.09875000268220901	0.0		0.0		0.4984453022480011		0.0		0.0		0.0		0.0		0.5716689229011536		0.0		0.0		0.8544235229492188		0.09875000268220901	0.0		0.0		0.564117431640625		0.0		0.0		0.0		0.0		0.5069329738616943		0.0		0.0		0.04870562255382538		0.09875000268220901	0.0		0.0		0.807384192943573		0.0		0.0		0.0		0.0		0.2633543610572815		0.0		0.0	
3	0.1767142415046692	1.00723135471344		0.0	0.0	0.0	0.0	0.7415965795516968	0.721017062664032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32933899760246277	0.278982937335968	0.0	0.0	0.0	0.0	0.5462567806243896	1.0789196491241455		0.0	0.0	0.0	0.0	0.8304152488708496	0.8298723101615906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2406041920185089	0.17012767493724823	0.0	0.0	0.0	0.0	0.016409296542406082	0.314875990152359		0.0	0.0	0.0	0.0	0.8481969833374023	0.8934122920036316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.222755566239357	0.10658768564462662	0.0	0.0	0.0	0.0	0.02354620210826397	0.09032560139894485		0.0	0.0	0.0	0.0	0.4988633692264557	0.7939701080322266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5719168186187744	0.20602987706661224	0.0	0.0	0.0	0.0	0.8125866055488586	1.1389938592910767		0.0	0.0	0.0	0.0	0.5625617504119873	0.510596752166748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5082899928092957	0.48940324783325195	0.0	0.0	0.0	0.0	-0.13376453518867493	1.356886625289917		0.0	0.0	0.0	0.0	0.8077353835105896	0.49741581082344055	0.0	0.0	0.0	0.0	0.49334976077079773	0.21172718703746796	0.3274480998516083	0.11839758604764938	0.44107556343078613	0.5454755425453186	0.7436299324035645	0.7708055973052979	0.36911752820014954	0.12271784245967865
4	0.14350362122058868		0.05000000074505806	0.0		0.0		0.7382837533950806		0.0		0.0		0.0		0.0		0.332062691450119		0.0		0.0		0.4973335862159729		0.05000000074505806	0.0		0.0		0.8315368294715881		0.0		0.0		0.0		0.0		0.23939546942710876		0.0		0.0		-0.09483364224433899		0.05000000074505806	0.0		0.0		0.848434329032898		0.0		0.0		0.7638417482376099		0.6179158091545105		0.6473892331123352		0.7974598407745361		0.7329434156417847		0.6058966517448425		0.05000000074505806	0.6219003796577454		0.4512738883495331		0.530066728591919		0.5201138854026794		0.7732198238372803		0.2233046442270279		0.12568539381027222		0.5580317974090576		0.4516048729419708		0.14832285046577454		0.790725588798523		0.05000000074505806	0.0		0.0		0.5650372505187988		0.0		0.0		0.0		0.0		0.505580484867096		0.0		0.0		0.5949875116348267		0.05000000074505806	0.0		0.0		0.8090486526489258		0.0		0.0		0.829517662525177		0.7086973190307617		0.7168201804161072		0.7468280792236328		0.9327980279922485	
5	0.15596355497837067	2.1922545433044434		0.0	0.0	0.0	0.0	0.7396540641784668	0.7239658832550049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3314487636089325	0.27603408694267273	0.0	0.0	0.0	0.0	0.4717651605606079	1.0063750743865967		0.0	0.0	0.0	0.0	0.832405686378479	0.8254062533378601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2386840283870697	0.17459377646446228	0.0	0.0	0.0	0.0	0.7688056826591492	1.0890514850616455		0.0	0.0	0.0	0.0	0.8479622006416321	0.8941378593444824	0.0	0.0	0.0	0.0	0.8699223399162292	0.944110631942749	0.7697898745536804	0.8941378593444824	0.7709707617759705	0.8941378593444824	0.7779350876808167	0.8941378593444824	0.986581027507782	1.0	0.5191178321838379	0.47036027908325195		0.6554170846939087	0.36146873235702515	0.48745009303092957	0.22060532867908478	0.4968424141407013	0.22060532867908478	0.4983387887477875	0.22060532867908478	0.9570979475975037	1.0	0.558498203754425	0.874447226524353	0.3874419033527374	0.7769046425819397	0.4464303255081177	0.7770864963531494	0.4247453808784485	0.7793407440185547	0.8152082562446594	0.9959926605224609	0.7701088786125183	1.1500065326690674		0.0	0.0	0.0	0.0	0.5552825331687927	0.5325302481651306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5148265957832336	0.4674697816371918	0.0	0.0	0.0	0.0	0.09278253465890884	5.154329776763916		0.0	0.0	0.0	0.0	0.8096922039985657	0.49964773654937744	0.0	0.0	0.0	0.0	0.31760692596435547	0.706078052520752	0.18878282606601715	0.5456883311271667	0.36417004466056824	0.5910685658454895	0.7673547267913818	0.5508701801300049	0.20024374127388	0.9830538034439087
6	0.09610586613416672		0.02500000037252903	0.0		0.0		0.7400529384613037		0.0		0.0		0.0		0.0		0.3302224576473236		0.0		0.0		0.41374579071998596		0.02500000037252903	0.0		0.0		0.8320813775062561		0.0		0.0		0.0		0.0		0.23868219554424286		0.0		0.0		0.7578030228614807		0.02500000037252903	0.0		0.0		0.8476707339286804		0.0		0.0		0.8743303418159485		0.7767201662063599		0.7767202258110046		0.7767213582992554		0.9999980926513672		0.38865748047828674		0.02500000037252903	0.6080383062362671		0.4368211627006531		0.4852294921875		0.4910483956336975		0.7982074618339539		0.5455977916717529		0.3751353919506073		0.4482518434524536		0.422239750623703		0.7707833647727966		0.7438400983810425		0.02500000037252903	0.0		0.0		0.558807373046875		0.0		0.0		0.0		0.0		0.5131215453147888		0.0		0.0		-7.623361587524414		0.02500000037252903	0.14668911695480347		0.0791497677564621		0.5503795742988586		0.11569691449403763		0.2003604918718338		0.8396138548851013		0.7235641479492188		0.7239708304405212		0.7342673540115356		0.980252206325531	
7	0.0847683995962143	-3.9804017543792725		0.0	0.0	0.0	0.0	0.7390540838241577	0.7234002947807312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3309985399246216	0.2765997052192688	0.0	0.0	0.0	0.0	0.38816919922828674	1.1159334182739258		0.0	0.0	0.0	0.0	0.8302140831947327	0.8335278630256653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.239501491189003	0.16647210717201233	0.0	0.0	0.0	0.0	0.5105183720588684	0.4038850665092468		0.23059841990470886	0.1850801706314087	0.13032566010951996	0.10197705030441284	0.5177610516548157	0.10197705030441284	0.15213987231254578	0.10197705030441284	0.47614800930023193	1.0	0.8753792643547058	0.9462719559669495	0.77837735414505	0.8980229496955872	0.7783879041671753	0.8980229496955872	0.7784028053283691	0.8980229496955872	0.9999579787254333	1.0	-0.11590848863124847	0.31380313634872437		0.6287615299224854	0.3451805114746094	0.4585355222225189	0.208591029047966	0.5246655344963074	0.21481601893901825	0.5164704322814941	0.20991048216819763	0.8034471869468689	0.9707472324371338	0.5544719099998474	0.8782089352607727	0.3835773766040802	0.7828631401062012	0.48436248302459717	0.7845960259437561	0.4400351643562317	0.7909945249557495	0.7493497729301453	0.9870389699935913	0.7369483113288879	1.151389479637146		0.0	0.0	0.0	0.0	0.5669854879379272	0.5067468881607056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5038632154464722	0.49325311183929443	0.0	0.0	0.0	0.0	0.08309942483901978	-0.3547860383987427		0.11212696880102158	0.247385174036026	0.05939327925443649	0.1411520540714264	0.10677345097064972	0.1558784395456314	0.06925468891859055	0.22255006432533264	0.29433703422546387	0.27845942974090576	0.8494055867195129	0.6682543158531189	0.7382320165634155	0.5017881989479065	0.7382320165634155	0.5017881989479065	0.7382320165634155	0.5017881989479065	1.0	1.0
8	0.0773915946483612		0.024687500670552254	0.0		0.0		0.7428761720657349		0.0		0.0		0.0		0.0		0.32817724347114563		0.0		0.0		0.37323012948036194		0.024687500670552254	0.0		0.0		0.8305824995040894		0.0		0.0		0.0		0.0		0.23949092626571655		0.0		0.0		0.2328813076019287		0.024687500670552254	0.2626996338367462		0.15121141076087952		0.15121141076087952		0.15121141076087952		1.0		0.3775007724761963		0.2326662242412567		0.36027711629867554		0.7758913636207581		0.2494286745786667		-0.17371204495429993		0.024687500670552254	0.5981951355934143		0.4267320930957794		0.5201576352119446		0.5143136382102966		0.7147698402404785		0.5149631500244141		0.34676793217658997		0.5016117691993713		0.4415861964225769		0.6175853610038757		0.7258031368255615		0.024687500670552254	0.0		0.0		0.554003119468689		0.0		0.0		0.0		0.0		0.5173127055168152		0.0		0.0		-0.046910613775253296		0.024687500670552254	0.10780970752239227		0.05697614327073097		0.06374555826187134		0.0660022497177124		0.29409974813461304		0.84830641746521		0.7365730404853821		0.7365730404853821		0.7365730404853821		1.0	
9	0.07162684202194214	-1.4968091249465942		0.0	0.0	0.0	0.0	0.7393019199371338	0.7249050140380859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33116719126701355	0.27509501576423645	0.0	0.0	0.0	0.0	0.3455284535884857	1.1879477500915527		0.0	0.0	0.0	0.0	0.8311188220977783	0.8307101130485535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2399282157421112	0.16928990185260773	0.0	0.0	0.0	0.0	-0.31230399012565613	-0.2811131477355957		0.24444499611854553	0.0	0.13924086093902588	0.0	0.4524881839752197	0.8973168730735779	0.15457841753959656	0.0	0.5839105248451233	0.0	0.0	0.0	0.0	0.0	0.22239786386489868	0.10268312692642212	0.0	0.0	0.0	0.0	-3.619903802871704	0.35822898149490356		0.6497732996940613	0.36554086208343506	0.48123276233673096	0.2236463725566864	0.5090392231941223	0.26705875992774963	0.5050424933433533	0.2261030524969101	0.9107757806777954	0.9536682367324829	0.5820704698562622	0.8325371742248535	0.41050732135772705	0.7131166458129883	0.45192450284957886	0.7167099714279175	0.43236207962036133	0.7712379693984985	0.8903657793998718	0.9044220447540283	0.7148658037185669	1.1612389087677002		0.0	0.0	0.0	0.0	0.5613040924072266	0.5270873308181763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5093574523925781	0.47291266918182373	0.0	0.0	0.0	0.0	-0.058726780116558075	-0.17007289826869965		0.1052386462688446	0.43491581082344055	0.05554190278053284	0.2778865098953247	0.06060006842017174	0.29727065563201904	0.06420788913965225	0.36677786707878113	0.2915439009666443	0.5341465473175049	0.8500626683235168	0.6610621213912964	0.7392252087593079	0.49372124671936035	0.7392252087593079	0.49372124671936035	0.7392252087593079	0.49372124671936035	1.0	1.0
