step	Buildings_Loss_train	Buildings_Loss_val	Buildings_Lr_0_train	Buildings_F1_Score_train	Buildings_F1_Score_val	Buildings_Mean_IoU_train	Buildings_Mean_IoU_val	Buildings_Pixel_Accuracy_train	Buildings_Pixel_Accuracy_val	Buildings_Precision_train	Buildings_Precision_val	Buildings_Recall_train	Buildings_Recall_val	Buildings_Negative_F1_Score_train	Buildings_Negative_F1_Score_val	Buildings_Negative_Mean_IoU_train	Buildings_Negative_Mean_IoU_val	Buildings_Negative_Pixel_Accuracy_train	Buildings_Negative_Pixel_Accuracy_val	Buildings_Negative_Precision_train	Buildings_Negative_Precision_val	Buildings_Negative_Recall_train	Buildings_Negative_Recall_val	Road_Loss_train	Road_Loss_val	Road_Lr_0_train	Road_F1_Score_train	Road_F1_Score_val	Road_Mean_IoU_train	Road_Mean_IoU_val	Road_Pixel_Accuracy_train	Road_Pixel_Accuracy_val	Road_Precision_train	Road_Precision_val	Road_Recall_train	Road_Recall_val	Road_Negative_F1_Score_train	Road_Negative_F1_Score_val	Road_Negative_Mean_IoU_train	Road_Negative_Mean_IoU_val	Road_Negative_Pixel_Accuracy_train	Road_Negative_Pixel_Accuracy_val	Road_Negative_Precision_train	Road_Negative_Precision_val	Road_Negative_Recall_train	Road_Negative_Recall_val	Track_Loss_train	Track_Loss_val	Track_Lr_0_train	Track_F1_Score_train	Track_F1_Score_val	Track_Mean_IoU_train	Track_Mean_IoU_val	Track_Pixel_Accuracy_train	Track_Pixel_Accuracy_val	Track_Precision_train	Track_Precision_val	Track_Recall_train	Track_Recall_val	Track_Negative_F1_Score_train	Track_Negative_F1_Score_val	Track_Negative_Mean_IoU_train	Track_Negative_Mean_IoU_val	Track_Negative_Pixel_Accuracy_train	Track_Negative_Pixel_Accuracy_val	Track_Negative_Precision_train	Track_Negative_Precision_val	Track_Negative_Recall_train	Track_Negative_Recall_val	Trees_Loss_train	Trees_Loss_val	Trees_Lr_0_train	Trees_F1_Score_train	Trees_F1_Score_val	Trees_Mean_IoU_train	Trees_Mean_IoU_val	Trees_Pixel_Accuracy_train	Trees_Pixel_Accuracy_val	Trees_Precision_train	Trees_Precision_val	Trees_Recall_train	Trees_Recall_val	Trees_Negative_F1_Score_train	Trees_Negative_F1_Score_val	Trees_Negative_Mean_IoU_train	Trees_Negative_Mean_IoU_val	Trees_Negative_Pixel_Accuracy_train	Trees_Negative_Pixel_Accuracy_val	Trees_Negative_Precision_train	Trees_Negative_Precision_val	Trees_Negative_Recall_train	Trees_Negative_Recall_val	Crops_Loss_train	Crops_Loss_val	Crops_Lr_0_train	Crops_F1_Score_train	Crops_F1_Score_val	Crops_Mean_IoU_train	Crops_Mean_IoU_val	Crops_Pixel_Accuracy_train	Crops_Pixel_Accuracy_val	Crops_Precision_train	Crops_Precision_val	Crops_Recall_train	Crops_Recall_val	Crops_Negative_F1_Score_train	Crops_Negative_F1_Score_val	Crops_Negative_Mean_IoU_train	Crops_Negative_Mean_IoU_val	Crops_Negative_Pixel_Accuracy_train	Crops_Negative_Pixel_Accuracy_val	Crops_Negative_Precision_train	Crops_Negative_Precision_val	Crops_Negative_Recall_train	Crops_Negative_Recall_val	Waterway_Loss_train	Waterway_Loss_val	Waterway_Lr_0_train	Waterway_F1_Score_train	Waterway_F1_Score_val	Waterway_Mean_IoU_train	Waterway_Mean_IoU_val	Waterway_Pixel_Accuracy_train	Waterway_Pixel_Accuracy_val	Waterway_Precision_train	Waterway_Precision_val	Waterway_Recall_train	Waterway_Recall_val	Waterway_Negative_F1_Score_train	Waterway_Negative_F1_Score_val	Waterway_Negative_Mean_IoU_train	Waterway_Negative_Mean_IoU_val	Waterway_Negative_Pixel_Accuracy_train	Waterway_Negative_Pixel_Accuracy_val	Waterway_Negative_Precision_train	Waterway_Negative_Precision_val	Waterway_Negative_Recall_train	Waterway_Negative_Recall_val
0	0.2861711084842682		0.10000000149011612	0.0038710173685103655		0.0019392621470615268		0.7405075430870056		0.2361709475517273		0.0019515019375830889		0.009519526734948158		0.004782527219504118		0.3311951756477356		0.6445825099945068		0.00479517225176096		1.3577274084091187		0.10000000149011612	0.003625832963734865		0.0018162090564146638		0.8283517360687256		0.13295172154903412		0.0018379789544269443		0.01381817739456892		0.0069571565836668015		0.24369481205940247		0.7509979009628296		0.006973241921514273		0.34693536162376404		0.10000000149011612	0.011052883230149746		0.005557152908295393		0.8443974256515503		0.14419090747833252		0.00574669661000371		0.3794362246990204		0.2341383993625641		0.3633803725242615		0.7844462990760803		0.2502381205558777		0.6692250967025757		0.10000000149011612	0.014994362369179726		0.007553813047707081		0.5001857876777649		0.459369033575058		0.007621569558978081		0.0034859722945839167		0.001746029476635158		0.5693727135658264		0.367196649312973		0.001751299132592976		0.42022112011909485		0.10000000149011612	0.012905815616250038		0.00649481825530529		0.5585517883300781		0.445237398147583		0.006547806318849325		0.003682241542264819		0.001844516722485423		0.510331928730011		0.36436599493026733		0.0018504710169509053		0.054278962314128876		0.10000000149011612	0.00796982366591692		0.004000854678452015		0.8029041290283203		0.16123387217521667		0.004085895139724016		0.5557488203048706		0.38480067253112793		0.47712796926498413		0.7401591539382935		0.4449017643928528	
1	0.061819419264793396	0.11113148927688599		0.0	0.0	0.0	0.0	0.7402607798576355	0.7249519228935242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33073359727859497	0.27504804730415344	0.0	0.0	0.0	0.0	0.6694957613945007	0.9682582020759583		0.0	0.0	0.0	0.0	0.8308163285255432	0.8303812742233276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24027977883815765	0.16961871087551117	0.0	0.0	0.0	0.0	2.466630220413208	4.065171241760254		0.2179325520992279	0.17938177287578583	0.12229197472333908	0.0985279381275177	0.5727349519729614	0.1511666625738144	0.15090931951999664	0.09965641051530838	0.39205610752105713	0.896919310092926	0.8735985159873962	0.9454607963562012	0.7755658626556396	0.896562933921814	0.775673508644104	0.896562933921814	0.7766736149787903	0.896562933921814	0.9981644153594971	1.0	0.28794822096824646	1.6759004592895508		0.0	0.0	0.0	0.0	0.5005136728286743	0.7896488308906555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5703122615814209	0.2103511393070221	0.0	0.0	0.0	0.0	0.052590399980545044	-13.661646842956543		0.0	0.0	0.0	0.0	0.563984215259552	0.5299138426780701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5069670677185059	0.47008612751960754	0.0	0.0	0.0	0.0	-0.08608722686767578	0.30537956953048706		0.032941948622465134	0.0	0.01674680970609188	0.0	0.8115763664245605	0.5079801082611084	0.5005934238433838	0.0	0.017031354829669	0.0	0.8508780598640442	0.6737225651741028	0.7404593229293823	0.5079801082611084	0.7404593229293823	0.5079801082611084	0.7404623031616211	0.5079801082611084	0.9999945163726807	1.0
2	0.12107313424348831		0.09875000268220901	0.26512834429740906		0.15282301604747772		0.6112297177314758		0.25897160172462463		0.2715849280357361		0.7425292730331421		0.5904942750930786		0.619843602180481		0.6802783608436584		0.817320704460144		0.4537844955921173		0.09875000268220901	0.0		0.0		0.8313248157501221		0.0		0.0		0.0		0.0		0.2397061139345169		0.0		0.0		1.9688493013381958		0.09875000268220901	0.2632724344730377		0.15159109234809875		0.15178893506526947		0.15160532295703888		0.9993810057640076		0.8748171329498291		0.7774888277053833		0.7774888277053833		0.7774888277053833		1.0		0.18081478774547577		0.09875000268220901	0.0		0.0		0.499183714389801		0.0		0.0		0.0		0.0		0.5725337862968445		0.0		0.0		0.10535228252410889		0.09875000268220901	0.0		0.0		0.5657268762588501		0.0		0.0		0.0		0.0		0.5047485828399658		0.0		0.0		-0.16361083090305328		0.09875000268220901	0.0006033908575773239		0.0003017864655703306		0.807746410369873		0.4567180275917053		0.0003018948482349515		0.5676824450492859		0.3963383734226227		0.4338659346103668		0.649987518787384		0.5038784742355347	
3	0.3576625883579254	0.7856084704399109		0.3631129860877991	0.43461424112319946	0.22183142602443695	0.27764034271240234	0.2941194176673889	0.27764034271240234	0.2375558316707611	0.27764034271240234	0.7701841592788696	1.0	0.79473477602005	0.8388023376464844	0.6593858599662781	0.7223596572875977	0.660981297492981	0.7223596572875977	0.6667966842651367	0.7223596572875977	0.983424186706543	1.0	0.3179953694343567	0.9413405656814575		0.0	0.0	0.0	0.0	0.8301571607589722	0.8322357535362244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24079525470733643	0.16776426136493683	0.0	0.0	0.0	0.0	1.4315464496612549	3.379391670227051		0.26419830322265625	0.19116254150867462	0.15220534801483154	0.10568253695964813	0.15333899855613708	0.10568253695964813	0.15223556756973267	0.10568253695964813	0.9986976385116577	1.0	0.8744829893112183	0.9442107677459717	0.7769611477851868	0.8943174481391907	0.7769611477851868	0.8943174481391907	0.7769611477851868	0.8943174481391907	1.0	1.0	0.1034318059682846	-1.4058690071105957		0.0	0.0	0.0	0.0	0.4996148347854614	0.7821470499038696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5718994736671448	0.21785292029380798	0.0	0.0	0.0	0.0	3.4553802013397217	0.993909478187561		0.08470296114683151	0.0	0.04422444850206375	0.0	0.5558762550354004	0.5594698190689087	0.4092261791229248	0.0	0.047240473330020905	0.0	0.1089320108294487	0.0	0.05760343372821808	0.0	0.5092611908912659	0.4405301809310913	0.527513861656189	0.0	0.060737136751413345	0.0	-0.5657835602760315	-0.9793800711631775		0.0	0.0	0.0	0.0	0.8064431548118591	0.4991421699523926	0.0	0.0	0.0	0.0	0.006936400663107634	0.015811387449502945	0.003480270504951477	0.007968692108988762	0.14992055296897888	0.1103522926568985	0.02474721521139145	0.017653925344347954	0.004033471457660198	0.014317112974822521
4	-0.9787404537200928		0.05000000074505806	0.38641029596328735		0.23947244882583618		0.45540332794189453		0.2735559344291687		0.6577709317207336		0.7939280271530151		0.658275842666626		0.6618729829788208		0.6698506474494934		0.9744214415550232		0.2408185452222824		0.05000000074505806	0.0		0.0		0.8350048661231995		0.0		0.0		0.0		0.0		0.2350907027721405		0.0		0.0		1.1046226024627686		0.05000000074505806	0.2619197964668274		0.15069489181041718		0.16918028891086578		0.15121476352214813		0.9776941537857056		0.8752310276031494		0.7781429290771484		0.7781429290771484		0.7781429290771484		1.0		0.08772749453783035		0.05000000074505806	0.0		0.0		0.4998990595340729		0.0		0.0		0.0		0.0		0.571219801902771		0.0		0.0		0.25270894169807434		0.05000000074505806	0.0		0.0		0.5554772615432739		0.0		0.0		0.0		0.0		0.5150243043899536		0.0		0.0		-1.123591423034668		0.05000000074505806	0.0		0.0		0.8109526038169861		0.0		0.0		0.6984590888023376		0.5366401672363281		0.5870577692985535		0.7610950469970703		0.6453487277030945	
5	0.5653461217880249	1.6422961950302124		0.4046526253223419	0.4400581121444702	0.25364547967910767	0.28209903836250305	0.28018611669540405	0.2828751802444458	0.2578558027744293	0.28222331404685974	0.9395191669464111	0.9984416961669922	0.801171600818634	0.8356971144676208	0.6682955026626587	0.7177661061286926	0.6682955026626587	0.7177661061286926	0.6682955026626587	0.7177661061286926	1.0	1.0	0.17376279830932617	1.405761957168579		0.0	0.0	0.0	0.0	0.8307344317436218	0.8276497721672058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24075227975845337	0.17235025763511658	0.0	0.0	0.0	0.0	0.948765754699707	3.4235992431640625		0.2653725743293762	0.19350937008857727	0.1529853492975235	0.10711894184350967	0.17306575179100037	0.10711894184350967	0.15346984565258026	0.10711894184350967	0.9797813892364502	1.0	0.8745080828666687	0.9434095621109009	0.7770007848739624	0.8928810358047485	0.7770015001296997	0.8928810358047485	0.7770299911499023	0.8928810358047485	0.9999516010284424	1.0	0.09246477484703064	1.2561546564102173		0.0	0.0	0.0	0.0	0.49929964542388916	0.794167160987854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5711047649383545	0.205832839012146	0.0	0.0	0.0	0.0	0.10839557647705078	0.04538736492395401		0.0	0.0	0.0	0.0	0.5531133413314819	0.5219325423240662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5177744626998901	0.47806745767593384	0.0	0.0	0.0	0.0	-0.2002350091934204	-0.16236759722232819		0.014711931347846985	0.04142732173204422	0.007410476915538311	0.021151792258024216	0.80756676197052	0.5041166543960571	0.5139794945716858	0.9514373540878296	0.007462771143764257	0.021174652501940727	0.2212754786014557	0.02501646801829338	0.12440120428800583	0.01266667153686285	0.19472461938858032	0.3105413019657135	0.3851553201675415	0.04148755595088005	0.15522761642932892	0.017907114699482918
6	0.39207813143730164		0.02500000037252903	0.40523919463157654		0.2541065812110901		0.2566692531108856		0.2545643448829651		0.9929730296134949		0.8052826523780823		0.6740361452102661		0.6740361452102661		0.6740361452102661		1.0		0.13064242899417877		0.02500000037252903	0.0		0.0		0.8305007815361023		0.0		0.0		0.0		0.0		0.24037393927574158		0.0		0.0		0.8584974408149719		0.02500000037252903	0.2663730978965759		0.15365076065063477		0.17498013377189636		0.15405254065990448		0.9833093881607056		0.8742282390594482		0.776559054851532		0.7765679955482483		0.7768576741218567		0.9995052814483643		0.07497341930866241		0.02500000037252903	0.0		0.0		0.4986167550086975		0.0		0.0		0.0		0.0		0.5716755986213684		0.0		0.0		0.05965416133403778		0.02500000037252903	0.0		0.0		0.56749027967453		0.0		0.0		0.0		0.0		0.5027512907981873		0.0		0.0		-0.2158520519733429		0.02500000037252903	0.024047790095210075		0.01217022817581892		0.8091745972633362		0.6046633720397949		0.012267844751477242		0.0671268180012703		0.03472903370857239		0.12270823866128922		0.155326247215271		0.04281502217054367	
7	0.34822550415992737	0.8623212575912476		0.40886980295181274	0.43135929107666016	0.2569681406021118	0.27498921751976013	0.26028284430503845	0.27545395493507385	0.25776663422584534	0.2752247154712677	0.9880889058113098	0.9968980550765991	0.8022440075874329	0.8401305079460144	0.6697891354560852	0.7243319749832153	0.6697891354560852	0.7243319749832153	0.6697891354560852	0.7243319749832153	1.0	1.0	0.1103801429271698	1.0882982015609741		0.0	0.0	0.0	0.0	0.8322322368621826	0.8317258954048157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23865914344787598	0.16827411949634552	0.0	0.0	0.0	0.0	0.8179835081100464	3.2038016319274902		0.2661830186843872	0.1931161880493164	0.1535242795944214	0.10687802731990814	0.17728976905345917	0.10687802731990814	0.15403158962726593	0.10687802731990814	0.9789974689483643	1.0	0.8736679553985596	0.9435440301895142	0.7756752967834473	0.8931219577789307	0.7757101058959961	0.8931219577789307	0.7767919898033142	0.8931219577789307	0.998150110244751	1.0	0.06702610105276108	7.446994781494141		0.0	0.0	0.0	0.0	0.49936458468437195	0.7852916717529297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5714303851127625	0.2147083282470703	0.0	0.0	0.0	0.0	0.04649884253740311	-0.003092472441494465		0.0	0.0	0.0	0.0	0.5647771954536438	0.5271295309066772	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5059484839439392	0.47287046909332275	0.0	0.0	0.0	0.0	-0.2494334727525711	-0.23863063752651215		0.016643214970827103	0.005708677228540182	0.00839143805205822	0.0028625091072171926	0.8091196417808533	0.5132301449775696	0.6828455328941345	0.8822829723358154	0.008424270898103714	0.002863602712750435	0.04214981198310852	0.03738316148519516	0.021528620272874832	0.019047610461711884	0.11931228637695312	0.28980547189712524	0.10677903890609741	0.06108452379703522	0.026257289573550224	0.026932932436466217
8	0.33637940883636475		0.024687500670552254	0.40640759468078613		0.25502607226371765		0.2598313093185425		0.2561042010784149		0.9837608337402344		0.8032788634300232		0.671233057975769		0.671233057975769		0.671233057975769		1.0		0.0876651480793953		0.024687500670552254	0.0		0.0		0.8305891752243042		0.0		0.0		0.0		0.0		0.240509495139122		0.0		0.0		0.7806573510169983		0.024687500670552254	0.26762765645980835		0.15448622405529022		0.18375158309936523		0.1550975888967514		0.9751191735267639		0.8721444010734558		0.7732766270637512		0.7733851671218872		0.7766117453575134		0.9944770932197571		0.0793205052614212		0.024687500670552254	0.0		0.0		0.4995502233505249		0.0		0.0		0.0		0.0		0.5719865560531616		0.0		0.0		0.04335353523492813		0.024687500670552254	0.0		0.0		0.5602205991744995		0.0		0.0		0.0		0.0		0.5102522373199463		0.0		0.0		-0.28593385219573975		0.024687500670552254	0.00323360413312912		0.0016194203635677695		0.8084806203842163		0.7377278804779053		0.0016203533159568906		0.022985566407442093		0.011626403778791428		0.12061542272567749		0.06395000219345093		0.014010722748935223	
9	0.31121641397476196	0.853303849697113		0.41055482625961304	0.42937037348747253	0.2583007216453552	0.27337467670440674	0.2612419128417969	0.2733768820762634	0.2588569223880768	0.2733757495880127	0.9917500019073486	0.9999856948852539	0.8022264838218689	0.8416690230369568	0.6697647571563721	0.7266222238540649	0.6697647571563721	0.7266222238540649	0.6697647571563721	0.7266222238540649	1.0	1.0	0.07419279217720032	2.881439685821533		0.0	0.0	0.0	0.0	0.8328063488006592	0.8289541006088257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23769809305667877	0.17104586958885193	0.0	0.0	0.0	0.0	0.712285041809082	2.8447442054748535		0.26464706659317017	0.18657362461090088	0.15250331163406372	0.10288458317518234	0.17741644382476807	0.1030435711145401	0.15298159420490265	0.10288464277982712	0.9799113273620605	0.999994695186615	0.8712321519851685	0.9457619190216064	0.7718435525894165	0.8971046805381775	0.7720072269439697	0.8971047401428223	0.7768009305000305	0.8971302509307861	0.991799533367157	0.9999682903289795	0.061210568994283676	3.7286148071289062		0.0	0.0	0.0	0.0	0.5012331008911133	0.7878199219703674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5697887539863586	0.21218009293079376	0.0	0.0	0.0	0.0	0.037893202155828476	0.016547327861189842		0.0	0.0	0.0	0.0	0.5548570156097412	0.5147404670715332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5156923532485962	0.4852595329284668	0.0	0.0	0.0	0.0	-0.3149445950984955	-0.2962244749069214		6.091041541367304e-06	0.0	3.045530093004345e-06	0.0	0.8082029223442078	0.5006927251815796	0.7747035622596741	0.0	3.0455328214884503e-06	0.0	0.014931402169167995	0.033622365444898605	0.007521857041865587	0.01709863170981407	0.1262737512588501	0.29148033261299133	0.04439413547515869	0.05301779881119728	0.008975017815828323	0.024616826325654984
