Buildings_Loss_train	Buildings_Loss_val	Buildings_Lr_0_train	step	Buildings_F1_Score_train	Buildings_F1_Score_val	Buildings_Mean_IoU_train	Buildings_Mean_IoU_val	Buildings_Pixel_Accuracy_train	Buildings_Pixel_Accuracy_val	Buildings_Precision_train	Buildings_Precision_val	Buildings_Recall_train	Buildings_Recall_val	Buildings_Negative_F1_Score_train	Buildings_Negative_F1_Score_val	Buildings_Negative_Mean_IoU_train	Buildings_Negative_Mean_IoU_val	Buildings_Negative_Pixel_Accuracy_train	Buildings_Negative_Pixel_Accuracy_val	Buildings_Negative_Precision_train	Buildings_Negative_Precision_val	Buildings_Negative_Recall_train	Buildings_Negative_Recall_val	Misc_Loss_train	Misc_Loss_val	Misc_Lr_0_train	Misc_F1_Score_train	Misc_F1_Score_val	Misc_Mean_IoU_train	Misc_Mean_IoU_val	Misc_Pixel_Accuracy_train	Misc_Pixel_Accuracy_val	Misc_Precision_train	Misc_Precision_val	Misc_Recall_train	Misc_Recall_val	Misc_Negative_F1_Score_train	Misc_Negative_F1_Score_val	Misc_Negative_Mean_IoU_train	Misc_Negative_Mean_IoU_val	Misc_Negative_Pixel_Accuracy_train	Misc_Negative_Pixel_Accuracy_val	Misc_Negative_Precision_train	Misc_Negative_Precision_val	Misc_Negative_Recall_train	Misc_Negative_Recall_val	Road_Loss_train	Road_Loss_val	Road_Lr_0_train	Road_F1_Score_train	Road_F1_Score_val	Road_Mean_IoU_train	Road_Mean_IoU_val	Road_Pixel_Accuracy_train	Road_Pixel_Accuracy_val	Road_Precision_train	Road_Precision_val	Road_Recall_train	Road_Recall_val	Road_Negative_F1_Score_train	Road_Negative_F1_Score_val	Road_Negative_Mean_IoU_train	Road_Negative_Mean_IoU_val	Road_Negative_Pixel_Accuracy_train	Road_Negative_Pixel_Accuracy_val	Road_Negative_Precision_train	Road_Negative_Precision_val	Road_Negative_Recall_train	Road_Negative_Recall_val
0.006335557904094458		0.012500000186264515	11	0.0		0.0		0.7397473454475403		0.0		0.0		0.7239553332328796		0.5673432946205139		0.6275503039360046		0.7183038592338562		0.72969651222229		-0.8358739018440247		0.012500000186264515	0.01327491644769907		0.006681808270514011		0.9021622538566589		0.01509161852300167		0.011848603375256062		0.02826293185353279		0.014334027655422688		0.10567126423120499		0.28086817264556885		0.014880138449370861		0.7923067808151245		0.012500000186264515	0.0		0.0		0.8298189043998718		0.0		0.0		0.8234265446662903		0.699851393699646		0.7129999399185181		0.7731926441192627		0.8806413412094116	
-0.025318359956145287	0.550378143787384		12	0.0	0.0	0.0	0.0	0.7421188950538635	0.725801408290863	0.0	0.0	0.0	0.0	0.7673507928848267	0.8368279337882996	0.6225216388702393	0.7194361090660095	0.6640286445617676	0.7203755378723145	0.7169816493988037	0.7258260846138	0.8253316879272461	0.9879109263420105	-1.326828122138977	1.7337799072265625		0.053692325949668884	0.07663741707801819	0.027586759999394417	0.0398455373942852	0.8848149180412292	0.6121677756309509	0.04942452162504196	0.04328196123242378	0.05876683443784714	0.33415767550468445	0.12245327979326248	0.5272854566574097	0.06521983444690704	0.35803642868995667	0.17568115890026093	0.3789728879928589	0.8757856488227844	0.9570288062095642	0.06582876294851303	0.363886296749115	0.3050910532474518	1.002232551574707		0.0	0.0	0.0	0.0	0.830206036567688	0.8306938409805298	0.0	0.0	0.0	0.0	0.858819842338562	0.19521121680736542	0.7525716423988342	0.10816291719675064	0.7645279765129089	0.2487514168024063	0.7885763645172119	0.8864853382110596	0.9428011178970337	0.10968203842639923
-0.04500988498330116		0.012500000186264515	13	0.0		0.0		0.7384599447250366		0.0		0.0		0.7830373048782349		0.6434357762336731		0.6747356653213501		0.706092119216919		0.8788034319877625		-0.16904804110527039		0.012500000186264515	0.0281143207103014		0.014257581904530525		0.9191415309906006		0.0419277548789978		0.02114720456302166		0.03754645958542824		0.019132407382130623		0.13264553248882294		0.641730010509491		0.019338974729180336		0.6641184091567993		0.012500000186264515	0.0		0.0		0.8310683965682983		0.0		0.0		0.8585976362228394		0.7522305250167847		0.7621676921844482		0.7838876843452454		0.9490485787391663	
-0.12583070993423462	0.6612994074821472		14	0.0	0.0	0.0	0.0	0.7419742941856384	0.7257261276245117	0.0	0.0	0.0	0.0	0.805453360080719	0.8284873366355896	0.6742753386497498	0.7071945071220398	0.7007380723953247	0.7092031836509705	0.7143449783325195	0.7242465615272522	0.9231991767883301	0.9677798748016357	1.7928659915924072	2.4084651470184326		0.029942123219370842	0.0	0.015198600478470325	0.0	0.926443874835968	0.9531948566436768	0.056633662432432175	0.0	0.02035076916217804	0.0	0.04736320674419403	0.0	0.02425602450966835	0.0	0.14517198503017426	0.04680515453219414	0.8524714112281799	0.0	0.024358274415135384	0.0	0.9227768182754517	0.9462541341781616		0.0	0.0	0.0	0.0	0.8303899765014648	0.828741729259491	0.0	0.0	0.0	0.0	0.8635146617889404	0.9063518643379211	0.7598114609718323	0.828741729259491	0.7598592638969421	0.828741729259491	0.7600024938583374	0.828741729259491	0.9996693730354309	1.0
-0.29212069511413574		0.012500000186264515	15	0.0		0.0		0.741487443447113		0.0		0.0		0.8173989057540894		0.69118732213974		0.7126119136810303		0.7115744352340698		0.9601983428001404		1.6232352256774902		0.012500000186264515	0.03608100488781929		0.0183719415217638		0.9240390658378601		0.060828473418951035		0.025646841153502464		0.05405183508992195		0.027776606380939484		0.14673951268196106		0.9048169255256653		0.027858007699251175		0.6762015223503113		0.012500000186264515	0.0		0.0		0.8329790234565735		0.0		0.0		0.8649044632911682		0.7619662284851074		0.7619662284851074		0.7619662284851074		1.0	
-0.5433022379875183	0.8303927779197693		16	0.0	0.0	0.0	0.0	0.7430089712142944	0.7268933653831482	0.0	0.0	0.0	0.0	0.8172417879104614	0.8240729570388794	0.6909626722335815	0.700785756111145	0.7090325951576233	0.7017428278923035	0.7076259851455688	0.7212996482849121	0.9670429229736328	0.9609994888305664	1.4840580224990845	2.1996350288391113		0.0371004082262516	0.0	0.01890081726014614	0.0	0.9220386743545532	0.9516866207122803	0.05971711874008179	0.0	0.026909101754426956	0.0	0.05859501659870148	0.0	0.030181758105754852	0.0	0.15017695724964142	0.04831337928771973	0.928110659122467	0.0	0.03025248274207115	0.0	0.5547502636909485	0.9308552742004395		0.0	0.0	0.0	0.0	0.8299956321716309	0.827168881893158	0.0	0.0	0.0	0.0	0.8629224300384521	0.9054104089736938	0.7588949203491211	0.827168881893158	0.7588949203491211	0.827168881893158	0.7588949203491211	0.827168881893158	1.0	1.0
0.6245652437210083		0.012500000186264515	17	0.0		0.0		0.740786075592041		0.0		0.0		0.7895041704177856		0.6522155404090881		0.6539849042892456		0.6663864850997925		0.9684246778488159		1.356605887413025		0.012500000186264515	0.03826334699988365		0.019504833966493607		0.9212847352027893		0.059418417513370514		0.028217066079378128		0.0641123503446579		0.03311780467629433		0.15396086871623993		0.9307734966278076		0.03319958224892616		0.5182260274887085		0.012500000186264515	0.0		0.0		0.8313858509063721		0.0		0.0		0.8635590076446533		0.7598801851272583		0.7598801851272583		0.7598801851272583		1.0	
0.6157090663909912	0.7129777669906616		18	0.0	0.0	0.0	0.0	0.7396466135978699	0.717731773853302	0.0	0.0	0.0	0.0	0.6501432061195374	0.5617985129356384	0.481638640165329	0.3906257152557373	0.5351969599723816	0.4775940775871277	0.6549975872039795	0.7058542966842651	0.6453602313995361	0.4665762484073639	1.242745280265808	2.053201675415039		0.03953258693218231	0.0	0.02016487717628479	0.0	0.9206331968307495	0.9521134495735168	0.05961228907108307	0.0	0.02957170270383358	0.0	0.07191173732280731	0.0	0.03729690983891487	0.0	0.15572361648082733	0.04788656160235405	0.930438220500946	0.0	0.03740119934082031	0.0	0.48818299174308777	0.9197537899017334		0.0	0.0	0.0	0.0	0.8316593170166016	0.8310946822166443	0.0	0.0	0.0	0.0	0.864363431930542	0.9077571630477905	0.7611267566680908	0.8310946822166443	0.7611267566680908	0.8310946822166443	0.7611267566680908	0.8310946822166443	1.0	1.0
-0.4178721606731415		0.012500000186264515	19	0.0		0.0		0.7401494979858398		0.0		0.0		0.8009486198425293		0.667985200881958		0.6869149208068848		0.6974309086799622		0.9405521154403687		0.9904800653457642		0.012500000186264515	0.04264330118894577		0.021786168217658997		0.9164180159568787		0.0585271380841732		0.033540625125169754		0.1388019472360611		0.07457666099071503		0.18712560832500458		0.9262914657592773		0.07502187043428421		0.4610134959220886		0.012500000186264515	0.0		0.0		0.830926775932312		0.0		0.0		0.8635730147361755		0.7599018812179565		0.7599018812179565		0.7599018812179565		1.0	
0.8919779658317566	0.7286989688873291		20	0.0	0.0	0.0	0.0	0.7407451868057251	0.721876859664917	0.0	0.0	0.0	0.0	0.8009495735168457	0.8384767770767212	0.6679865121841431	0.721876859664917	0.670616090297699	0.721876859664917	0.6726819276809692	0.721876859664917	0.9896585941314697	1.0	0.2077379673719406	1.5566251277923584		0.061511456966400146	0.021484730765223503	0.03173166140913963	0.010859016329050064	0.891813337802887	0.9344134330749512	0.05935502052307129	0.03403802588582039	0.06383049488067627	0.015696009621024132	0.32278943061828613	0.15833616256713867	0.19245611131191254	0.08597451448440552	0.28481364250183105	0.12482329457998276	0.9303313493728638	0.9606710076332092	0.1952703893184662	0.08627819269895554	0.4269320070743561	0.8914785981178284		0.0	0.0	0.0	0.0	0.8316876888275146	0.8290339112281799	0.0	0.0	0.0	0.0	0.8641707897186279	0.9065265655517578	0.7608281373977661	0.8290339112281799	0.7608281373977661	0.8290339112281799	0.7608281373977661	0.8290339112281799	1.0	1.0
