step	Buildings_Loss_train	Buildings_Loss_val	Buildings_Lr_0_train	Buildings_F1_Score_train	Buildings_F1_Score_val	Buildings_Mean_IoU_train	Buildings_Mean_IoU_val	Buildings_Pixel_Accuracy_train	Buildings_Pixel_Accuracy_val	Buildings_Precision_train	Buildings_Precision_val	Buildings_Recall_train	Buildings_Recall_val	Buildings_Negative_F1_Score_train	Buildings_Negative_F1_Score_val	Buildings_Negative_Mean_IoU_train	Buildings_Negative_Mean_IoU_val	Buildings_Negative_Pixel_Accuracy_train	Buildings_Negative_Pixel_Accuracy_val	Buildings_Negative_Precision_train	Buildings_Negative_Precision_val	Buildings_Negative_Recall_train	Buildings_Negative_Recall_val	Road_Loss_train	Road_Loss_val	Road_Lr_0_train	Road_F1_Score_train	Road_F1_Score_val	Road_Mean_IoU_train	Road_Mean_IoU_val	Road_Pixel_Accuracy_train	Road_Pixel_Accuracy_val	Road_Precision_train	Road_Precision_val	Road_Recall_train	Road_Recall_val	Road_Negative_F1_Score_train	Road_Negative_F1_Score_val	Road_Negative_Mean_IoU_train	Road_Negative_Mean_IoU_val	Road_Negative_Pixel_Accuracy_train	Road_Negative_Pixel_Accuracy_val	Road_Negative_Precision_train	Road_Negative_Precision_val	Road_Negative_Recall_train	Road_Negative_Recall_val	Track_Loss_train	Track_Loss_val	Track_Lr_0_train	Track_F1_Score_train	Track_F1_Score_val	Track_Mean_IoU_train	Track_Mean_IoU_val	Track_Pixel_Accuracy_train	Track_Pixel_Accuracy_val	Track_Precision_train	Track_Precision_val	Track_Recall_train	Track_Recall_val	Track_Negative_F1_Score_train	Track_Negative_F1_Score_val	Track_Negative_Mean_IoU_train	Track_Negative_Mean_IoU_val	Track_Negative_Pixel_Accuracy_train	Track_Negative_Pixel_Accuracy_val	Track_Negative_Precision_train	Track_Negative_Precision_val	Track_Negative_Recall_train	Track_Negative_Recall_val	Trees_Loss_train	Trees_Loss_val	Trees_Lr_0_train	Trees_F1_Score_train	Trees_F1_Score_val	Trees_Mean_IoU_train	Trees_Mean_IoU_val	Trees_Pixel_Accuracy_train	Trees_Pixel_Accuracy_val	Trees_Precision_train	Trees_Precision_val	Trees_Recall_train	Trees_Recall_val	Trees_Negative_F1_Score_train	Trees_Negative_F1_Score_val	Trees_Negative_Mean_IoU_train	Trees_Negative_Mean_IoU_val	Trees_Negative_Pixel_Accuracy_train	Trees_Negative_Pixel_Accuracy_val	Trees_Negative_Precision_train	Trees_Negative_Precision_val	Trees_Negative_Recall_train	Trees_Negative_Recall_val	Crops_Loss_train	Crops_Loss_val	Crops_Lr_0_train	Crops_F1_Score_train	Crops_F1_Score_val	Crops_Mean_IoU_train	Crops_Mean_IoU_val	Crops_Pixel_Accuracy_train	Crops_Pixel_Accuracy_val	Crops_Precision_train	Crops_Precision_val	Crops_Recall_train	Crops_Recall_val	Crops_Negative_F1_Score_train	Crops_Negative_F1_Score_val	Crops_Negative_Mean_IoU_train	Crops_Negative_Mean_IoU_val	Crops_Negative_Pixel_Accuracy_train	Crops_Negative_Pixel_Accuracy_val	Crops_Negative_Precision_train	Crops_Negative_Precision_val	Crops_Negative_Recall_train	Crops_Negative_Recall_val	Waterway_Loss_train	Waterway_Loss_val	Waterway_Lr_0_train	Waterway_F1_Score_train	Waterway_F1_Score_val	Waterway_Mean_IoU_train	Waterway_Mean_IoU_val	Waterway_Pixel_Accuracy_train	Waterway_Pixel_Accuracy_val	Waterway_Precision_train	Waterway_Precision_val	Waterway_Recall_train	Waterway_Recall_val	Waterway_Negative_F1_Score_train	Waterway_Negative_F1_Score_val	Waterway_Negative_Mean_IoU_train	Waterway_Negative_Mean_IoU_val	Waterway_Negative_Pixel_Accuracy_train	Waterway_Negative_Pixel_Accuracy_val	Waterway_Negative_Precision_train	Waterway_Negative_Precision_val	Waterway_Negative_Recall_train	Waterway_Negative_Recall_val
0	0.3811117112636566		0.10000000149011612	0.0015079622389748693		0.0007545500411652029		0.741325318813324		0.24794864654541016		0.0007562809041701257		0.0057218498550355434		0.0028691331390291452		0.3288806676864624		0.609643280506134		0.0028744139708578587		0.9391793608665466		0.10000000149011612	0.0028480878099799156		0.0014260746538639069		0.8297581076622009		0.14744587242603302		0.0014379315543919802		0.009087460115551949		0.004564469680190086		0.24120867252349854		0.718294084072113		0.004572655539959669		0.3360595107078552		0.10000000149011612	0.0006101725157350302		0.0003051793610211462		0.8490322232246399		0.114881731569767		0.0003058986330870539		0.704611599445343		0.5439384579658508		0.579437255859375		0.7768462300300598		0.6446675062179565		2.2480356693267822		0.10000000149011612	0.002396687865257263		0.0011997816618531942		0.5001035928726196		0.3974247872829437		0.0012019681744277477		0.008946767076849937		0.004493484273552895		0.570184588432312		0.41852763295173645		0.004521713126450777		0.3015602231025696		0.10000000149011612	0.002503032563254237		0.0012530845124274492		0.5598429441452026		0.38271352648735046		0.0012556222500279546		0.00849827565252781		0.004267269745469093		0.5098520517349243		0.45703041553497314		0.004289013799279928		0.5297942161560059		0.10000000149011612	0.0022929594852030277		0.0011477957013994455		0.805840015411377		0.12321324646472931		0.0011572478106245399		0.012614409439265728		0.006347238086163998		0.266191303730011		0.7441116571426392		0.0063611227087676525	
1	-0.18448178470134735	-4.053979396820068		0.0	0.0	0.0	0.0	0.7407243251800537	0.7221580147743225	0.0	0.0	0.0	0.0	0.7130723595619202	0.8377625942230225	0.5540888905525208	0.720818817615509	0.6001145839691162	0.7210336923599243	0.6868172287940979	0.7221876978874207	0.741414487361908	0.997377336025238	0.2533906400203705	1.217812180519104		0.0	0.0	0.0	0.0	0.8316612243652344	0.8246840238571167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23901572823524475	0.1753159910440445	0.0	0.0	0.0	0.0	0.5474643111228943	1.7446495294570923		0.14331386983394623	0.1282607465982437	0.07718798518180847	0.06852490454912186	0.702031672000885	0.7507621049880981	0.12723860144615173	0.10058741271495819	0.16403838992118835	0.17693999409675598	0.8746430277824402	0.9453561902046204	0.7772138118743896	0.8963748216629028	0.7772138118743896	0.8963748216629028	0.7772138118743896	0.8963748216629028	1.0	1.0	0.8948652148246765	1.1009166240692139		0.0	0.0	0.0	0.0	0.5000203251838684	0.7789857387542725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5711533427238464	0.22101423144340515	0.0	0.0	0.0	0.0	0.060544680804014206	-1.1885682344436646		0.0	0.0	0.0	0.0	0.5671026110649109	0.5354991555213928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5037340521812439	0.4645008146762848	0.0	0.0	0.0	0.0	0.5934661030769348	1.3069126605987549		0.0	0.0	0.0	0.0	0.8077527284622192	0.49642032384872437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26289746165275574	0.5035796761512756	0.0	0.0	0.0	0.0
2	0.8850883841514587		0.09875000268220901	0.008172369562089443		0.004102949984371662		0.7299444675445557		0.09656275063753128		0.004266737494617701		0.8014547228813171		0.6686895489692688		0.6686955690383911		0.6686963438987732		0.999984860420227		0.12070419639348984		0.09875000268220901	0.0		0.0		0.8309533596038818		0.0		0.0		0.0		0.0		0.23996354639530182		0.0		0.0		0.1746010035276413		0.09875000268220901	0.10631813853979111		0.056143611669540405		0.709257960319519		0.0998050794005394		0.11374060064554214		0.8744949102401733		0.7769799828529358		0.7769799828529358		0.7769799828529358		1.0		0.8172970414161682		0.09875000268220901	0.0		0.0		0.4995203912258148		0.0		0.0		0.0		0.0		0.5711773633956909		0.0		0.0		0.06767584383487701		0.09875000268220901	0.0		0.0		0.5562628507614136		0.0		0.0		0.0		0.0		0.5143333673477173		0.0		0.0		0.3397499620914459		0.09875000268220901	0.0		0.0		0.8108370304107666		0.0		0.0		0.0		0.0		0.2607964873313904		0.0		0.0	
3	0.5981249213218689	1.0387771129608154		0.008836214430630207	0.0	0.004437713418155909	0.0	0.6875910758972168	0.7234075665473938	0.024764982983469963	0.0	0.0053774518892169	0.0	0.8022916316986084	0.8395084142684937	0.669855535030365	0.7234075665473938	0.669855535030365	0.7234075665473938	0.669855535030365	0.7234075665473938	1.0	1.0	0.03819085285067558	0.9358264803886414		0.0	0.0	0.0	0.0	0.8333539366722107	0.82916259765625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2383071333169937	0.1708373874425888	0.0	0.0	0.0	0.0	0.0872664600610733	0.8921664357185364		0.013604450970888138	0.0023013707250356674	0.006848812568932772	0.001152010983787477	0.7780138254165649	0.8930326700210571	0.021104011684656143	0.0820658802986145	0.010037504136562347	0.001167049165815115	0.8748304843902588	0.944195032119751	0.7775099277496338	0.8942891955375671	0.7775099277496338	0.8942891955375671	0.7775099277496338	0.8942891955375671	1.0	1.0	0.7549847364425659	1.1160054206848145		0.0	0.0	0.0	0.0	0.4996374547481537	0.7902862429618835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5704023241996765	0.20971372723579407	0.0	0.0	0.0	0.0	-0.6515505909919739	1.0558249950408936		0.11916305869817734	0.013042876496911049	0.06335639953613281	0.006564246490597725	0.5491437911987305	0.5259481072425842	0.4458916485309601	0.4799875020980835	0.06877093017101288	0.006611263379454613	0.37890365719795227	0.01539558544754982	0.23373295366764069	0.00775750819593668	0.5056325197219849	0.4742790460586548	0.4864172637462616	0.5315775871276855	0.3103143572807312	0.007810902316123247	0.19605621695518494	1.6551856994628906		0.0	0.0	0.0	0.0	0.8095672130584717	0.4984293580055237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2607964873313904	0.5015706419944763	0.0	0.0	0.0	0.0
4	0.5013198256492615		0.05000000074505806	0.010175719857215881		0.005113878753036261		0.6820310354232788		0.025210516527295113		0.006374286487698555		0.8041930198669434		0.6725106835365295		0.6725106835365295		0.6725106835365295		1.0		0.010467780753970146		0.05000000074505806	0.0		0.0		0.8336601257324219		0.0		0.0		0.0		0.0		0.23653841018676758		0.0		0.0		0.07875872403383255		0.05000000074505806	0.015346400439739227		0.007732533384114504		0.7820578813552856		0.024489987641572952		0.011174344457685947		0.8751040101051331		0.7779421806335449		0.7779421806335449		0.7779421806335449		1.0		0.7256873846054077		0.05000000074505806	0.0		0.0		0.500238299369812		0.0		0.0		0.0		0.0		0.5700832009315491		0.0		0.0		0.20250234007835388		0.05000000074505806	0.5010517239570618		0.33426886796951294		0.5719801187515259		0.5154454708099365		0.4874400198459625		0.5159398317337036		0.34765422344207764		0.43271756172180176		0.44238558411598206		0.6188311576843262		0.11698063462972641		0.05000000074505806	0.0		0.0		0.8064098358154297		0.0		0.0		0.0		0.0		0.2651152014732361		0.0		0.0	
5	0.42016300559043884	1.0033457279205322		0.011655726470053196	0.0	0.00586202647536993	0.0	0.675165057182312	0.7231497168540955	0.027970515191555023	0.0	0.007361735217273235	0.0	0.8021661043167114	0.8393347859382629	0.6696805357933044	0.7231497168540955	0.6696805357933044	0.7231497168540955	0.6696805357933044	0.7231497168540955	1.0	1.0	-0.03989655524492264	1.7021279335021973		0.0	0.0	0.0	0.0	0.8316548466682434	0.8292063474655151	0.0	0.0	0.0	0.0	0.5358991026878357	0.5998845100402832	0.3660260736942291	0.42845362424850464	0.4708309769630432	0.4780309200286865	0.8065210580825806	0.8231764435768127	0.40125954151153564	0.4718831777572632	0.056275345385074615	0.7065461874008179		0.005963045172393322	0.0011451176833361387	0.0029904386028647423	0.0005728868418373168	0.788549542427063	0.8971608281135559	0.010231018997728825	0.0825873464345932	0.004207742400467396	0.0005765559617429972	0.8753757476806641	0.9461241364479065	0.7783718109130859	0.8977566957473755	0.7783718109130859	0.8977566957473755	0.7783718109130859	0.8977566957473755	1.0	1.0	0.7029755711555481	1.1114193201065063		0.0	0.0	0.0	0.0	0.4984113574028015	0.7867839336395264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5720053315162659	0.21321609616279602	0.0	0.0	0.0	0.0	0.09061191231012344	0.5266383290290833		0.5945289731025696	0.6322529911994934	0.4230104684829712	0.4622587263584137	0.5488278865814209	0.4802098870277405	0.49448347091674805	0.47164127230644226	0.7453256249427795	0.9587404727935791	0.5969896912574768	0.6961708664894104	0.42550626397132874	0.5339433550834656	0.48795828223228455	0.5339433550834656	0.48325610160827637	0.5339433550834656	0.7807343602180481	1.0	0.08758509904146194	-1.6759674549102783		0.0	0.0	0.0	0.0	0.8112378120422363	0.5023153424263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2596985995769501	0.49768462777137756	0.0	0.0	0.0	0.0
6	0.3710753619670868		0.02500000037252903	0.013349260203540325		0.0067194802686572075		0.6738340258598328		0.03001534566283226		0.008583341725170612		0.8042131662368774		0.6725389361381531		0.6725389361381531		0.6725389361381531		1.0		-0.1296440064907074		0.02500000037252903	0.0		0.0		0.8318722248077393		0.0		0.0		0.8752129077911377		0.7781143188476562		0.7889400124549866		0.7956621646881104		0.9724377989768982		0.05287826806306839		0.02500000037252903	0.005250174552202225		0.002631996525451541		0.7865840196609497		0.008988117799162865		0.0037080750335007906		0.8751112222671509		0.777953565120697		0.777953565120697		0.777953565120697		1.0		0.6834251284599304		0.02500000037252903	0.0		0.0		0.5003198385238647		0.0		0.0		0.0		0.0		0.5693048238754272		0.0		0.0		-3.8635857105255127		0.02500000037252903	0.5994322896003723		0.4279923439025879		0.47055721282958984		0.4479983448982239		0.9055188298225403		0.66139155626297		0.49408888816833496		0.5048862099647522		0.4981897473335266		0.9836129546165466		0.05650395527482033		0.02500000037252903	0.0		0.0		0.809120774269104		0.0		0.0		0.0		0.0		0.2613218426704407		0.0		0.0	
7	0.3378797769546509	0.9890075325965881		0.012495274655520916	0.00021337729413062334	0.0062869153916835785	0.00010670002666302025	0.6700669527053833	0.7239600419998169	0.02785649523139	0.20151688158512115	0.008053977973759174	0.00010674515942810103	0.8023276329040527	0.8399389982223511	0.6699057221412659	0.7240473031997681	0.6699057221412659	0.7240473031997681	0.6699057221412659	0.7240473031997681	1.0	1.0	-1.6202706098556519	0.3576582372188568		0.0	0.0	0.0	0.0	0.8303173184394836	0.8286851644515991	0.0	0.0	0.0	0.0	0.8584417700767517	0.4281049370765686	0.7519911527633667	0.2723495662212372	0.7580411434173584	0.3538561761379242	0.7728741765022278	0.8030796051025391	0.9653151035308838	0.2918391227722168	0.05074309557676315	0.6174918413162231		0.005290571134537458	0.0009971089893952012	0.002652301685884595	0.0004988031578250229	0.7868751883506775	0.8966164588928223	0.009004703722894192	0.08897660672664642	0.003745627822354436	0.0005013637710362673	0.8747252225875854	0.9457554817199707	0.7773436903953552	0.8970931172370911	0.7773436903953552	0.8970931172370911	0.7773436903953552	0.8970931172370911	1.0	1.0	0.6666274070739746	1.1015747785568237		0.0	0.0	0.0	0.0	0.49959883093833923	0.78848797082901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5708538889884949	0.2115120142698288	0.0	0.0	0.0	0.0	0.5431710481643677	0.5930806994438171		0.5931797623634338	0.6233094930648804	0.42164576053619385	0.452759325504303	0.462815523147583	0.47103235125541687	0.44541963934898376	0.47311174869537354	0.8876382112503052	0.913230836391449	0.6554583311080933	0.6843917369842529	0.4874957501888275	0.5202093720436096	0.490638792514801	0.5205597281455994	0.48957347869873047	0.520703136920929	0.9913694262504578	0.9981805086135864	0.04855485260486603	-1.1843782663345337		0.0	0.0	0.0	0.0	0.805498480796814	0.5127196907997131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2654019892215729	0.48728030920028687	0.0	0.0	0.0	0.0
8	0.32989540696144104		0.024687500670552254	0.017978908494114876		0.009070998057723045		0.6711136698722839		0.03939775377511978		0.011646962724626064		0.8032256364822388		0.6711587905883789		0.6711587905883789		0.6711587905883789		1.0		1.1811752319335938		0.024687500670552254	0.0		0.0		0.8299001455307007		0.0		0.0		0.861640989780426		0.7569149732589722		0.7569700479507446		0.7582022547721863		0.9977619051933289		0.046619731932878494		0.024687500670552254	0.0031712043564766645		0.0015881203580647707		0.7873728275299072		0.005570382345467806		0.0022165365517139435		0.8744542002677917		0.7769156694412231		0.7769156694412231		0.7769156694412231		1.0		0.6541723608970642		0.024687500670552254	0.0		0.0		0.5001932382583618		0.0		0.0		0.0		0.0		0.5706549882888794		0.0		0.0		0.54202800989151		0.024687500670552254	0.5815342664718628		0.4099740982055664		0.4483112096786499		0.4340432286262512		0.8808552026748657		0.6592580676078796		0.4917113780975342		0.4945372939109802		0.4937516152858734		0.9916665554046631		0.048317186534404755		0.024687500670552254	0.0		0.0		0.8093379735946655		0.0		0.0		0.0		0.0		0.2606472671031952		0.0		0.0	
9	0.3084179759025574	0.9629582166671753		0.015482459217309952	0.0	0.007801623549312353	0.0	0.6706122756004333	0.7185415625572205	0.034353889524936676	0.0	0.009993039071559906	0.0	0.8026646375656128	0.8362225294113159	0.6703758239746094	0.7185415625572205	0.6703758239746094	0.7185415625572205	0.6703758239746094	0.7185415625572205	1.0	1.0	1.1672046184539795	1.314686894416809		0.0	0.0	0.0	0.0	0.8311582207679749	0.8306789994239807	0.0	0.0	0.0	0.0	0.8628414869308472	0.9072362780570984	0.7587697505950928	0.8302218317985535	0.758782148361206	0.830228328704834	0.7591862678527832	0.8306279182434082	0.9992774724960327	0.9994114637374878	0.04276149347424507	0.8099638223648071		0.0021836303640156984	0.0020393107552081347	0.0010930085554718971	0.0010206961305812001	0.7868660688400269	0.8959510922431946	0.00379965640604496	0.07673048228025436	0.001532040536403656	0.0010333878453820944	0.874653697013855	0.945772647857666	0.7772306799888611	0.8971239924430847	0.7772306799888611	0.8971239924430847	0.7772306799888611	0.8971239924430847	1.0	1.0	0.6414077281951904	1.1409659385681152		0.0	0.0	0.0	0.0	0.5000544190406799	0.7904744148254395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5705284476280212	0.20952555537223816	0.0	0.0	0.0	0.0	0.5331420302391052	0.5909978747367859		0.5848398208618164	0.6134006381034851	0.4132675528526306	0.4423777163028717	0.4542311429977417	0.4703925549983978	0.44040659070014954	0.4705825746059418	0.8702380657196045	0.8806800246238708	0.6540375351905823	0.6863027811050415	0.4859255254268646	0.5224208235740662	0.48889464139938354	0.5228492021560669	0.4879252016544342	0.5229285955429077	0.9916365146636963	0.9981448650360107	0.03939878195524216	-1.0100891590118408		0.0	0.0	0.0	0.0	0.8059335350990295	0.4948176145553589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2652590572834015	0.5051823854446411	0.0	0.0	0.0	0.0
