step	Buildings_Loss_train	Buildings_Loss_val	Buildings_Lr_0_train	Buildings_F1_Score_train	Buildings_F1_Score_val	Buildings_Mean_IoU_train	Buildings_Mean_IoU_val	Buildings_Pixel_Accuracy_train	Buildings_Pixel_Accuracy_val	Buildings_Precision_train	Buildings_Precision_val	Buildings_Recall_train	Buildings_Recall_val	Buildings_Negative_F1_Score_train	Buildings_Negative_F1_Score_val	Buildings_Negative_Mean_IoU_train	Buildings_Negative_Mean_IoU_val	Buildings_Negative_Pixel_Accuracy_train	Buildings_Negative_Pixel_Accuracy_val	Buildings_Negative_Precision_train	Buildings_Negative_Precision_val	Buildings_Negative_Recall_train	Buildings_Negative_Recall_val	Road_Loss_train	Road_Loss_val	Road_Lr_0_train	Road_F1_Score_train	Road_F1_Score_val	Road_Mean_IoU_train	Road_Mean_IoU_val	Road_Pixel_Accuracy_train	Road_Pixel_Accuracy_val	Road_Precision_train	Road_Precision_val	Road_Recall_train	Road_Recall_val	Road_Negative_F1_Score_train	Road_Negative_F1_Score_val	Road_Negative_Mean_IoU_train	Road_Negative_Mean_IoU_val	Road_Negative_Pixel_Accuracy_train	Road_Negative_Pixel_Accuracy_val	Road_Negative_Precision_train	Road_Negative_Precision_val	Road_Negative_Recall_train	Road_Negative_Recall_val	Track_Loss_train	Track_Loss_val	Track_Lr_0_train	Track_F1_Score_train	Track_F1_Score_val	Track_Mean_IoU_train	Track_Mean_IoU_val	Track_Pixel_Accuracy_train	Track_Pixel_Accuracy_val	Track_Precision_train	Track_Precision_val	Track_Recall_train	Track_Recall_val	Track_Negative_F1_Score_train	Track_Negative_F1_Score_val	Track_Negative_Mean_IoU_train	Track_Negative_Mean_IoU_val	Track_Negative_Pixel_Accuracy_train	Track_Negative_Pixel_Accuracy_val	Track_Negative_Precision_train	Track_Negative_Precision_val	Track_Negative_Recall_train	Track_Negative_Recall_val	Trees_Loss_train	Trees_Loss_val	Trees_Lr_0_train	Trees_F1_Score_train	Trees_F1_Score_val	Trees_Mean_IoU_train	Trees_Mean_IoU_val	Trees_Pixel_Accuracy_train	Trees_Pixel_Accuracy_val	Trees_Precision_train	Trees_Precision_val	Trees_Recall_train	Trees_Recall_val	Trees_Negative_F1_Score_train	Trees_Negative_F1_Score_val	Trees_Negative_Mean_IoU_train	Trees_Negative_Mean_IoU_val	Trees_Negative_Pixel_Accuracy_train	Trees_Negative_Pixel_Accuracy_val	Trees_Negative_Precision_train	Trees_Negative_Precision_val	Trees_Negative_Recall_train	Trees_Negative_Recall_val	Crops_Loss_train	Crops_Loss_val	Crops_Lr_0_train	Crops_F1_Score_train	Crops_F1_Score_val	Crops_Mean_IoU_train	Crops_Mean_IoU_val	Crops_Pixel_Accuracy_train	Crops_Pixel_Accuracy_val	Crops_Precision_train	Crops_Precision_val	Crops_Recall_train	Crops_Recall_val	Crops_Negative_F1_Score_train	Crops_Negative_F1_Score_val	Crops_Negative_Mean_IoU_train	Crops_Negative_Mean_IoU_val	Crops_Negative_Pixel_Accuracy_train	Crops_Negative_Pixel_Accuracy_val	Crops_Negative_Precision_train	Crops_Negative_Precision_val	Crops_Negative_Recall_train	Crops_Negative_Recall_val	Waterway_Loss_train	Waterway_Loss_val	Waterway_Lr_0_train	Waterway_F1_Score_train	Waterway_F1_Score_val	Waterway_Mean_IoU_train	Waterway_Mean_IoU_val	Waterway_Pixel_Accuracy_train	Waterway_Pixel_Accuracy_val	Waterway_Precision_train	Waterway_Precision_val	Waterway_Recall_train	Waterway_Recall_val	Waterway_Negative_F1_Score_train	Waterway_Negative_F1_Score_val	Waterway_Negative_Mean_IoU_train	Waterway_Negative_Mean_IoU_val	Waterway_Negative_Pixel_Accuracy_train	Waterway_Negative_Pixel_Accuracy_val	Waterway_Negative_Precision_train	Waterway_Negative_Precision_val	Waterway_Negative_Recall_train	Waterway_Negative_Recall_val
0	0.6009784936904907		0.10000000149011612	0.017283523455262184		0.00871709268540144		0.7347354888916016		0.2590959966182709		0.008939940482378006		0.00187330087646842		0.0009375285590067506		0.3330201804637909		0.5774758458137512		0.0009381721029058099		1.443002700805664		0.10000000149011612	0.0006727734580636024		0.0003364999429322779		0.8300909399986267		0.09629733860492706		0.0003375659289304167		0.6838785409927368		0.5196166038513184		0.5608303546905518		0.7544583082199097		0.6253746151924133		0.30352312326431274		0.10000000149011612	0.001827189582400024		0.000914430245757103		0.8469975590705872		0.11115027219057083		0.000921166327316314		0.006928051356226206		0.0034760667476803064		0.2252660095691681		0.703392505645752		0.0034811694640666246		0.8653940558433533		0.10000000149011612	0.0043958197347819805		0.002202751347795129		0.4982007145881653		0.45430922508239746		0.00220859469845891		0.015782881528139114		0.007954210974276066		0.5703054666519165		0.4181361198425293		0.008043239824473858		0.5108750462532043		0.10000000149011612	0.006804801523685455		0.0034140164498239756		0.5558645725250244		0.4683418571949005		0.003427299205213785		0.0025237195659428835		0.0012634540908038616		0.5147864818572998		0.3873593509197235		0.001265983795747161		1.120177984237671		0.10000000149011612	0.10382173210382462		0.054753147065639496		0.7551755309104919		0.169782355427742		0.07477252185344696		0.022533360868692398		0.011395065113902092		0.26667869091033936		0.7400932312011719		0.011440848000347614	
1	0.561065673828125	1.0438216924667358		0.0	0.0	0.0	0.0	0.7406800389289856	0.7218490242958069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3305893838405609	0.2781509757041931	0.0	0.0	0.0	0.0	0.3425518572330475	1.3115447759628296		0.25392404198646545	0.031475622206926346	0.14542554318904877	0.015989450737833977	0.8024940490722656	0.8118821978569031	0.3567736744880676	0.12141329795122147	0.19710363447666168	0.018081579357385635	0.8574320673942566	0.9076680541038513	0.7504429817199707	0.8309452533721924	0.750989556312561	0.8309452533721924	0.7584484219551086	0.8309452533721924	0.9861299991607666	1.0	0.3835599720478058	1.352705717086792		0.0	0.0	0.0	0.0	0.8476352691650391	0.8968049883842468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22310172021389008	0.10319502651691437	0.0	0.0	0.0	0.0	0.29480573534965515	1.1599870920181274		0.0	0.0	0.0	0.0	0.4991680979728699	0.804916262626648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5718409419059753	0.19508373737335205	0.0	0.0	0.0	0.0	0.5794622302055359	1.5097966194152832		0.0	0.0	0.0	0.0	0.5618693232536316	0.50800621509552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5085498690605164	0.49199378490448	0.0	0.0	0.0	0.0	0.3298637270927429	1.0332672595977783		0.0	0.0	0.0	0.0	0.8080002069473267	0.5027204155921936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2621641457080841	0.4972795844078064	0.0	0.0	0.0	0.0
2	0.3263930380344391		0.09875000268220901	0.0		0.0		0.7399184703826904		0.0		0.0		0.0		0.0		0.33082011342048645		0.0		0.0		0.09160690754652023		0.09875000268220901	0.02789272926747799		0.014143616892397404		0.7691142559051514		0.04895848035812378		0.019501615315675735		0.8629109263420105		0.7588770985603333		0.7588770985603333		0.7588770985603333		1.0		0.24916216731071472		0.09875000268220901	0.0		0.0		0.8482993245124817		0.0		0.0		0.0		0.0		0.22228620946407318		0.0		0.0		0.276816189289093		0.09875000268220901	0.0		0.0		0.49964621663093567		0.0		0.0		0.0		0.0		0.5715917348861694		0.0		0.0		0.3063347041606903		0.09875000268220901	0.0		0.0		0.5392135381698608		0.0		0.0		0.0		0.0		0.5312448740005493		0.0		0.0		0.22497503459453583		0.09875000268220901	0.0		0.0		0.8091548681259155		0.0		0.0		0.0		0.0		0.26117411255836487		0.0		0.0	
3	0.10886149108409882	-1.0788772106170654		0.0	0.0	0.0	0.0	0.7380717992782593	0.7247881293296814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3330385088920593	0.2752118706703186	0.0	0.0	0.0	0.0	0.07300975173711777	1.6558811664581299		0.019714465364813805	0.2000058889389038	0.009955364279448986	0.1111147478222847	0.7730677723884583	0.7595730423927307	0.035659387707710266	0.23144790530204773	0.013623003847897053	0.17608489096164703	0.8644490242004395	0.9066965579986572	0.7612595558166504	0.8293182849884033	0.7612595558166504	0.8293182849884033	0.7612595558166504	0.8293182849884033	1.0	1.0	0.17241400480270386	1.041277527809143		0.0	0.0	0.0	0.0	0.8472671508789062	0.8990007638931274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22374115884304047	0.10099925845861435	0.0	0.0	0.0	0.0	0.09117769449949265	-0.982334554195404		0.0	0.0	0.0	0.0	0.49965131282806396	0.7871409058570862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5710963606834412	0.212859109044075	0.0	0.0	0.0	0.0	0.15817272663116455	-2.0407183170318604		0.0	0.0	0.0	0.0	0.5656039714813232	0.5031682252883911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5057575106620789	0.4968317449092865	0.0	0.0	0.0	0.0	0.13033659756183624	1.2175912857055664		0.0	0.0	0.0	0.0	0.8095647096633911	0.49738577008247375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2610454261302948	0.5026142597198486	0.0	0.0	0.0	0.0
4	0.08774993568658829		0.05000000074505806	0.0		0.0		0.7387755513191223		0.0		0.0		0.0		0.0		0.33220332860946655		0.0		0.0		0.08242424577474594		0.05000000074505806	0.019357286393642426		0.009773234836757183		0.769577145576477		0.034658655524253845		0.013428687117993832		0.864154577255249		0.7608029842376709		0.7608029842376709		0.7608029842376709		1.0		0.14221495389938354		0.05000000074505806	0.0		0.0		0.8477478623390198		0.0		0.0		0.0		0.0		0.2221854031085968		0.0		0.0		0.06285086274147034		0.05000000074505806	0.0		0.0		0.4983731210231781		0.0		0.0		0.0		0.0		0.5707107782363892		0.0		0.0		0.12055091559886932		0.05000000074505806	0.0		0.0		0.5679019093513489		0.0		0.0		0.0		0.0		0.5034125447273254		0.0		0.0		0.09677454084157944		0.05000000074505806	0.0		0.0		0.8088988065719604		0.0		0.0		0.0		0.0		0.26146799325942993		0.0		0.0	
5	0.07507546246051788	0.9119778871536255		0.0	0.0	0.0	0.0	0.7412518262863159	0.7211174368858337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32991525530815125	0.27888256311416626	0.0	0.0	0.0	0.0	0.05592550337314606	1.0106955766677856		0.009875770658254623	0.04272432625293732	0.004962388891726732	0.021828467026352882	0.774023711681366	0.810512125492096	0.018428295850753784	0.15381456911563873	0.006745295599102974	0.024807490408420563	0.8651995658874512	0.9068326950073242	0.7624244093894958	0.8295461535453796	0.7624244093894958	0.8295461535453796	0.7624244093894958	0.8295461535453796	1.0	1.0	0.11126431077718735	8.575095176696777		0.0	0.0	0.0	0.0	0.8481734395027161	0.8998879194259644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22234293818473816	0.10011205822229385	0.0	0.0	0.0	0.0	0.04408218339085579	-0.27403250336647034		0.0	0.0	0.0	0.0	0.5008884072303772	0.7930892705917358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5696005821228027	0.20691069960594177	0.0	0.0	0.0	0.0	0.10412099957466125	-1.734781265258789		0.0	0.0	0.0	0.0	0.5571755766868591	0.5455387234687805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.513471245765686	0.45446130633354187	0.0	0.0	0.0	0.0	0.11851552873849869	1.422154426574707		0.0	0.0	0.0	0.0	0.8066990375518799	0.4961329698562622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26403459906578064	0.5038670301437378	0.0	0.0	0.0	0.0
6	0.05564475804567337		0.02500000037252903	0.0		0.0		0.7380074262619019		0.0		0.0		0.0		0.0		0.3323439955711365		0.0		0.0		0.046256303787231445		0.02500000037252903	0.004230632912367582		0.002119800541549921		0.7787044644355774		0.008422153070569038		0.0028247947338968515		0.8659264445304871		0.7635540962219238		0.7635540962219238		0.7635540962219238		1.0		0.0871264785528183		0.02500000037252903	0.0		0.0		0.8482313752174377		0.0		0.0		0.0		0.0		0.2230268120765686		0.0		0.0		0.02331414632499218		0.02500000037252903	0.0		0.0		0.5002108216285706		0.0		0.0		0.0		0.0		0.5708827972412109		0.0		0.0		0.08070596307516098		0.02500000037252903	0.0		0.0		0.56035315990448		0.0		0.0		0.0		0.0		0.5120948553085327		0.0		0.0		0.05451669543981552		0.02500000037252903	0.0		0.0		0.809395432472229		0.0		0.0		0.0		0.0		0.261451780796051		0.0		0.0	
7	0.049576207995414734	-1.8059037923812866		0.0	0.0	0.0	0.0	0.741912305355072	0.726412832736969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32854390144348145	0.273587167263031	0.0	0.0	0.0	0.0	0.048425253480672836	0.5787567496299744		0.006194648798555136	0.0017738761380314827	0.003106947522610426	0.0008877254440449178	0.7761281132698059	0.8295542597770691	0.012179267592728138	0.09316036850214005	0.00415364233776927	0.0008954633958637714	0.8643648624420166	0.907627284526825	0.7611290812492371	0.8308769464492798	0.7611290812492371	0.8308769464492798	0.7611290812492371	0.8308769464492798	1.0	1.0	0.08169519901275635	0.9008926749229431		0.0	0.0	0.0	0.0	0.8475435376167297	0.8942530751228333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22360670566558838	0.10574692487716675	0.0	0.0	0.0	0.0	0.01639006845653057	1.2325310707092285		0.0	0.0	0.0	0.0	0.49979668855667114	0.7859971523284912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5715039968490601	0.2140028327703476	0.0	0.0	0.0	0.0	0.09617261588573456	1.3254696130752563		0.0	0.0	0.0	0.0	0.5612063407897949	0.5246706604957581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5094606280326843	0.47532933950424194	0.0	0.0	0.0	0.0	0.04175674542784691	1.7510615587234497		0.0	0.0	0.0	0.0	0.8104401230812073	0.493299663066864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2601442337036133	0.506700336933136	0.0	0.0	0.0	0.0
8	0.04433904588222504		0.024687500670552254	0.0		0.0		0.7390688061714172		0.0		0.0		0.0		0.0		0.3313658535480499		0.0		0.0		0.050444696098566055		0.024687500670552254	0.00760624697431922		0.0038176425732672215		0.7744423151016235		0.015125681646168232		0.005080551374703646		0.8634868264198303		0.7597684264183044		0.7597684264183044		0.7597684264183044		1.0		0.07427556812763214		0.024687500670552254	0.0		0.0		0.8478801846504211		0.0		0.0		0.0		0.0		0.22345523536205292		0.0		0.0		0.029525503516197205		0.024687500670552254	0.0		0.0		0.5003100037574768		0.0		0.0		0.0		0.0		0.5698155164718628		0.0		0.0		0.07250054180622101		0.024687500670552254	0.0		0.0		0.5591452717781067		0.0		0.0		0.0		0.0		0.5112318396568298		0.0		0.0		0.028992708772420883		0.024687500670552254	0.0		0.0		0.80965256690979		0.0		0.0		0.0		0.0		0.26187390089035034		0.0		0.0	
9	0.042405642569065094	-0.48332679271698		0.0	0.0	0.0	0.0	0.7379851937294006	0.7248398065567017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33331310749053955	0.27516019344329834	0.0	0.0	0.0	0.0	0.03928959369659424	0.6706633567810059		0.003261254634708166	0.01162789762020111	0.0016332906670868397	0.005847948603332043	0.7778893113136292	0.8235434293746948	0.00675812317058444	0.1447121500968933	0.002149193547666073	0.006057307124137878	0.8634929656982422	0.906291127204895	0.7597779631614685	0.8286401629447937	0.7597779631614685	0.8286401629447937	0.7597779631614685	0.8286401629447937	1.0	1.0	0.06751800328493118	0.9142778515815735		0.0	0.0	0.0	0.0	0.8478894829750061	0.8944955468177795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22282394766807556	0.10550446808338165	0.0	0.0	0.0	0.0	-0.05091532692313194	0.18274889886379242		0.0	0.0	0.0	0.0	0.49912354350090027	0.7851775288581848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5724253058433533	0.21482248604297638	0.0	0.0	0.0	0.0	0.06774363666772842	-1.7975901365280151		0.0	0.0	0.0	0.0	0.5639337301254272	0.5047523379325867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5080467462539673	0.4952476918697357	0.0	0.0	0.0	0.0	0.023166989907622337	-1.7415835857391357		0.0	0.0	0.0	0.0	0.8055596351623535	0.4954361617565155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26433372497558594	0.5045638680458069	0.0	0.0	0.0	0.0
